LAT,LON
0.365725820000000E+02,-0.824094250000000E+02
0.365702160000000E+02,-0.824061180000000E+02
0.365689090000000E+02,-0.823980010000000E+02
0.365697550000000E+02,-0.823947650000000E+02
0.365697540000000E+02,-0.823927210000000E+02
0.365687990000000E+02,-0.823909500000000E+02
0.365644430000000E+02,-0.823943410000000E+02
0.365647890000000E+02,-0.824030260000000E+02
0.365643550000000E+02,-0.824055520000000E+02
0.365632790000000E+02,-0.824071700000000E+02
0.365608850000000E+02,-0.824067420000000E+02
0.365559020000000E+02,-0.824099660000000E+02
0.365550340000000E+02,-0.824110450000000E+02
0.365503020000000E+02,-0.824126660000000E+02
0.365443830000000E+02,-0.824134400000000E+02
0.365450850000000E+02,-0.824102210000000E+02
0.365447020000000E+02,-0.824088660000000E+02
0.365419190000000E+02,-0.824088930000000E+02
0.365408810000000E+02,-0.824127540000000E+02
0.365360020000000E+02,-0.824172660000000E+02
0.365346020000000E+02,-0.824178660000000E+02
0.365303020000000E+02,-0.824236660000000E+02
0.365338390000000E+02,-0.824282580000000E+02
0.365413020000000E+02,-0.824348670000000E+02
0.365319700000000E+02,-0.824466300000000E+02
0.365306650000000E+02,-0.824475910000000E+02
0.365284830000000E+02,-0.824473010000000E+02
0.365248020000000E+02,-0.824517680000000E+02
0.365230020000000E+02,-0.824552680000000E+02
0.365181530000000E+02,-0.824564870000000E+02
0.365126070000000E+02,-0.824595090000000E+02
0.364994020000000E+02,-0.824719680000000E+02
0.364994020000000E+02,-0.824719680000000E+02
0.364980800000000E+02,-0.824749810000000E+02
0.364997820000000E+02,-0.824794530000000E+02
0.365024440000000E+02,-0.824841520000000E+02
0.365051150000000E+02,-0.824861670000000E+02
0.365061370000000E+02,-0.824861510000000E+02
0.365063660000000E+02,-0.824866850000000E+02
0.365069840000000E+02,-0.824904240000000E+02
0.365060990000000E+02,-0.824949570000000E+02
0.365061220000000E+02,-0.824975350000000E+02
0.365070220000000E+02,-0.825014720000000E+02
0.365089750000000E+02,-0.825049360000000E+02
0.365093020000000E+02,-0.825082700000000E+02
0.365087020000000E+02,-0.825094700000000E+02
0.365073020000000E+02,-0.825103700000000E+02
0.365051020000000E+02,-0.825100700000000E+02
0.364997020000000E+02,-0.825071700000000E+02
0.364987020000000E+02,-0.825081700000000E+02
0.364989020000000E+02,-0.825097700000000E+02
0.365071010000000E+02,-0.825244710000000E+02
0.365092010000000E+02,-0.825234710000000E+02
0.365133010000000E+02,-0.825228710000000E+02
0.365150010000000E+02,-0.825237710000000E+02
0.365160010000000E+02,-0.825254710000000E+02
0.365157180000000E+02,-0.825292900000000E+02
0.365111640000000E+02,-0.825342960000000E+02
0.365115680000000E+02,-0.825368140000000E+02
0.365187320000000E+02,-0.825420780000000E+02
0.365220970000000E+02,-0.825436800000000E+02
0.365253310000000E+02,-0.825463800000000E+02
0.365253310000000E+02,-0.825463800000000E+02
0.365247870000000E+02,-0.825456800000000E+02
0.365252110000000E+02,-0.825420240000000E+02
0.365193010000000E+02,-0.825370720000000E+02
0.365221010000000E+02,-0.825333720000000E+02
0.365311670000000E+02,-0.825409600000000E+02
0.365364510000000E+02,-0.825487230000000E+02
0.365389010000000E+02,-0.825459730000000E+02
0.365422010000000E+02,-0.825409730000000E+02
0.365408010000000E+02,-0.825375720000000E+02
0.365440010000000E+02,-0.825356720000000E+02
0.365448010000000E+02,-0.825356720000000E+02
0.365477010000000E+02,-0.825380730000000E+02
0.365503470000000E+02,-0.825430250000000E+02
0.365546800000000E+02,-0.825465920000000E+02
0.365566000000000E+02,-0.825468730000000E+02
0.365580000000000E+02,-0.825446730000000E+02
