LAT,LON
0.312737860000000E+02,-0.948896440000000E+02
0.312674390000000E+02,-0.948766690000000E+02
0.312678520000000E+02,-0.948766350000000E+02
0.312690670000000E+02,-0.948786610000000E+02
0.312700070000000E+02,-0.948791410000000E+02
0.312716790000000E+02,-0.948789260000000E+02
0.312740610000000E+02,-0.948777240000000E+02
0.312740830000000E+02,-0.948692540000000E+02
0.312765830000000E+02,-0.948620800000000E+02
0.312780740000000E+02,-0.948555450000000E+02
0.312723080000000E+02,-0.948519950000000E+02
0.312635700000000E+02,-0.948612590000000E+02
0.312603840000000E+02,-0.948625620000000E+02
0.312587350000000E+02,-0.948620790000000E+02
0.312454240000000E+02,-0.948531770000000E+02
0.312531790000000E+02,-0.948236930000000E+02
0.312521940000000E+02,-0.948209470000000E+02
0.312494680000000E+02,-0.948195910000000E+02
0.312408990000000E+02,-0.948200430000000E+02
0.312399190000000E+02,-0.948184730000000E+02
0.312410600000000E+02,-0.948157790000000E+02
0.312406660000000E+02,-0.948142350000000E+02
0.312406660000000E+02,-0.948142350000000E+02
0.312382420000000E+02,-0.948160430000000E+02
0.312343930000000E+02,-0.948222010000000E+02
0.312317120000000E+02,-0.948249470000000E+02
0.312291910000000E+02,-0.948259600000000E+02
0.312282750000000E+02,-0.948275320000000E+02
0.312274250000000E+02,-0.948373440000000E+02
0.312267610000000E+02,-0.948382500000000E+02
0.312248970000000E+02,-0.948392290000000E+02
0.312195280000000E+02,-0.948349710000000E+02
0.312209650000000E+02,-0.948348890000000E+02
0.312214920000000E+02,-0.948331830000000E+02
0.312195000000000E+02,-0.948274240000000E+02
0.312181480000000E+02,-0.948288360000000E+02
0.312181940000000E+02,-0.948301960000000E+02
0.312192700000000E+02,-0.948318770000000E+02
0.312187660000000E+02,-0.948336890000000E+02
0.312025730000000E+02,-0.948163240000000E+02
0.311981020000000E+02,-0.948082800000000E+02
0.312000960000000E+02,-0.948046860000000E+02
0.312012430000000E+02,-0.948012210000000E+02
0.311968660000000E+02,-0.947986630000000E+02
0.311935900000000E+02,-0.947947720000000E+02
0.311913110000000E+02,-0.947961220000000E+02
0.311932010000000E+02,-0.948001560000000E+02
0.311913670000000E+02,-0.948151060000000E+02
0.311889170000000E+02,-0.948143600000000E+02
0.311833720000000E+02,-0.948109220000000E+02
0.311851820000000E+02,-0.948078310000000E+02
0.311860300000000E+02,-0.948038610000000E+02
0.311860290000000E+02,-0.947973580000000E+02
0.311851130000000E+02,-0.947974120000000E+02
0.311831430000000E+02,-0.947979450000000E+02
0.311807600000000E+02,-0.948063660000000E+02
0.311807380000000E+02,-0.948085240000000E+02
0.311793400000000E+02,-0.948146790000000E+02
0.311746430000000E+02,-0.948138530000000E+02
0.311738870000000E+02,-0.948179030000000E+02
0.311658910000000E+02,-0.948177960000000E+02
0.311599570000000E+02,-0.948259740000000E+02
0.311605340000000E+02,-0.948282860000000E+02
0.311594060000000E+02,-0.948302920000000E+02
0.311555800000000E+02,-0.948295700000000E+02
0.311550310000000E+02,-0.948268260000000E+02
0.311503120000000E+02,-0.948224830000000E+02
