LAT,LON
0.330062170000000E+02,-0.975227340000000E+02
0.330116170000000E+02,-0.975176710000000E+02
0.330127150000000E+02,-0.975146250000000E+02
0.330154860000000E+02,-0.975131550000000E+02
0.330185560000000E+02,-0.975145400000000E+02
0.330185560000000E+02,-0.975145400000000E+02
0.330187390000000E+02,-0.975135610000000E+02
0.330151650000000E+02,-0.975098380000000E+02
0.330121180000000E+02,-0.975094860000000E+02
0.330069870000000E+02,-0.975100330000000E+02
0.330028880000000E+02,-0.975126450000000E+02
0.330013760000000E+02,-0.975145760000000E+02
0.329998220000000E+02,-0.975144210000000E+02
0.329949970000000E+02,-0.975102850000000E+02
0.329938310000000E+02,-0.975083820000000E+02
0.329938310000000E+02,-0.975083820000000E+02
0.329939360000000E+02,-0.975126070000000E+02
0.329924260000000E+02,-0.975100570000000E+02
0.329904180000000E+02,-0.975081500000000E+02
0.329886160000000E+02,-0.975071880000000E+02
0.329854660000000E+02,-0.975066630000000E+02
0.329713260000000E+02,-0.975085960000000E+02
0.329673800000000E+02,-0.975050810000000E+02
0.329648350000000E+02,-0.975044520000000E+02
0.329631070000000E+02,-0.975047670000000E+02
0.329609020000000E+02,-0.975061680000000E+02
0.329590250000000E+02,-0.975090370000000E+02
0.329554660000000E+02,-0.975114410000000E+02
0.329494520000000E+02,-0.975141080000000E+02
0.329451760000000E+02,-0.975141550000000E+02
0.329412660000000E+02,-0.975125540000000E+02
0.329365510000000E+02,-0.975091510000000E+02
0.329298750000000E+02,-0.975034540000000E+02
0.329272630000000E+02,-0.974990250000000E+02
0.329250420000000E+02,-0.974971390000000E+02
0.329206760000000E+02,-0.974960150000000E+02
0.329150930000000E+02,-0.974971860000000E+02
0.329123480000000E+02,-0.974970720000000E+02
0.329052320000000E+02,-0.974936340000000E+02
0.329031800000000E+02,-0.974932810000000E+02
0.329004250000000E+02,-0.974938150000000E+02
0.328960910000000E+02,-0.974978340000000E+02
0.328883370000000E+02,-0.975018150000000E+02
0.328792550000000E+02,-0.975049390000000E+02
0.328764990000000E+02,-0.975049590000000E+02
0.328754320000000E+02,-0.975037580000000E+02
0.328755510000000E+02,-0.975018060000000E+02
0.328807750000000E+02,-0.974931480000000E+02
0.328806780000000E+02,-0.974864420000000E+02
0.328826080000000E+02,-0.974791360000000E+02
0.328851980000000E+02,-0.974718590000000E+02
0.328849800000000E+02,-0.974688110000000E+02
0.328837550000000E+02,-0.974634870000000E+02
0.328818840000000E+02,-0.974603820000000E+02
0.328795590000000E+02,-0.974592770000000E+02
0.328741910000000E+02,-0.974607680000000E+02
0.328741910000000E+02,-0.974607680000000E+02
0.328767870000000E+02,-0.974742450000000E+02
0.328794960000000E+02,-0.974765810000000E+02
0.328797320000000E+02,-0.974779000000000E+02
0.328739030000000E+02,-0.974845560000000E+02
0.328717490000000E+02,-0.974881110000000E+02
0.328766460000000E+02,-0.974941970000000E+02
0.328769100000000E+02,-0.974951210000000E+02
0.328749300000000E+02,-0.974973450000000E+02
0.328707820000000E+02,-0.974977200000000E+02
0.328699430000000E+02,-0.974972540000000E+02
0.328698260000000E+02,-0.974974790000000E+02
0.328683700000000E+02,-0.975012870000000E+02
0.328673280000000E+02,-0.975040000000000E+02
0.328677890000000E+02,-0.975050730000000E+02
0.328669550000000E+02,-0.975067350000000E+02
0.328688270000000E+02,-0.975096190000000E+02
0.328673270000000E+02,-0.975116000000000E+02
0.328673270000000E+02,-0.975116000000000E+02
0.328715730000000E+02,-0.975119110000000E+02
0.328724900000000E+02,-0.975163100000000E+02
0.328745550000000E+02,-0.975212610000000E+02
0.328756110000000E+02,-0.975225290000000E+02
0.328787940000000E+02,-0.975245160000000E+02
0.328797540000000E+02,-0.975240560000000E+02
0.328770880000000E+02,-0.975183390000000E+02
0.328762570000000E+02,-0.975154630000000E+02
0.328751780000000E+02,-0.975098770000000E+02
0.328754690000000E+02,-0.975091770000000E+02
0.328777450000000E+02,-0.975086680000000E+02
0.328867080000000E+02,-0.975095620000000E+02
0.328937140000000E+02,-0.975129720000000E+02
0.328977940000000E+02,-0.975132250000000E+02
0.328982200000000E+02,-0.975127900000000E+02
0.329003300000000E+02,-0.975141240000000E+02
0.329051240000000E+02,-0.975205330000000E+02
0.329057540000000E+02,-0.975221920000000E+02
0.329045040000000E+02,-0.975233090000000E+02
0.329046980000000E+02,-0.975251990000000E+02
0.329058920000000E+02,-0.975276380000000E+02
0.329078280000000E+02,-0.975292280000000E+02
0.329117240246094E+02,-0.975299116681641E+02
0.329115848246094E+02,-0.975283960681641E+02
0.329123080000000E+02,-0.975280880000000E+02
0.329099680000000E+02,-0.975279790000000E+02
0.329093610000000E+02,-0.975274770000000E+02
0.329098690000000E+02,-0.975259500000000E+02
0.329111010000000E+02,-0.975258300000000E+02
0.329130470000000E+02,-0.975266950000000E+02
0.329142840000000E+02,-0.975280340000000E+02
0.329144816039063E+02,-0.975305239097656E+02
0.329155060000000E+02,-0.975303550000000E+02
0.329159400000000E+02,-0.975260800000000E+02
0.329120100000000E+02,-0.975220020000000E+02
0.329105870000000E+02,-0.975212890000000E+02
0.329087330000000E+02,-0.975165730000000E+02
0.329086420000000E+02,-0.975103580000000E+02
0.329125010000000E+02,-0.975067620000000E+02
0.329152230000000E+02,-0.975062330000000E+02
0.329180270000000E+02,-0.975063910000000E+02
0.329195350000000E+02,-0.975072950000000E+02
0.329237730000000E+02,-0.975058180000000E+02
0.329248570000000E+02,-0.975035520000000E+02
0.329309750000000E+02,-0.975068190000000E+02
0.329318800000000E+02,-0.975111610000000E+02
0.329368450000000E+02,-0.975131620000000E+02
0.329431240000000E+02,-0.975181960000000E+02
0.329470820000000E+02,-0.975193280000000E+02
0.329523210000000E+02,-0.975178310000000E+02
0.329618700000000E+02,-0.975140150000000E+02
0.329756690000000E+02,-0.975136750000000E+02
0.329778210000000E+02,-0.975149210000000E+02
0.329814830000000E+02,-0.975159200000000E+02
0.329917040000000E+02,-0.975151920000000E+02
0.329946820000000E+02,-0.975208760000000E+02
0.329980970000000E+02,-0.975229720000000E+02
0.330009670000000E+02,-0.975240100000000E+02
0.330044490000000E+02,-0.975238180000000E+02
0.330062170000000E+02,-0.975227340000000E+02
END,END
0.329850670000000E+02,-0.971175720000000E+02
0.329849330000000E+02,-0.971092550000000E+02
0.329848850000000E+02,-0.971082800000000E+02
0.329846630000000E+02,-0.970832270000000E+02
0.329846630000000E+02,-0.970832270000000E+02
0.329846080000000E+02,-0.970689120000000E+02
0.329846080000000E+02,-0.970689120000000E+02
0.329822180000000E+02,-0.970695010000000E+02
0.329810720000000E+02,-0.970689070000000E+02
0.329802500000000E+02,-0.970649050000000E+02
0.329755510000000E+02,-0.970576640000000E+02
0.329625250000000E+02,-0.970556500000000E+02
0.329617210000000E+02,-0.970569930000000E+02
0.329540210000000E+02,-0.970594600000000E+02
0.329483980000000E+02,-0.970627620000000E+02
0.329484480000000E+02,-0.970633070000000E+02
0.329499790000000E+02,-0.970631710000000E+02
0.329522350000000E+02,-0.970614990000000E+02
0.329549640000000E+02,-0.970613890000000E+02
0.329603280000000E+02,-0.970634970000000E+02
0.329626400000000E+02,-0.970696680000000E+02
0.329612420000000E+02,-0.970740050000000E+02
0.329589530000000E+02,-0.970777410000000E+02
0.329576780000000E+02,-0.970816060000000E+02
0.329618660000000E+02,-0.970770550000000E+02
0.329638730000000E+02,-0.970744260000000E+02
0.329639330000000E+02,-0.970737480000000E+02
0.329669260000000E+02,-0.970757440000000E+02
0.329710400000000E+02,-0.970818220000000E+02
0.329728030000000E+02,-0.970859300000000E+02
0.329727480000000E+02,-0.970886730000000E+02
0.329710020000000E+02,-0.970918470000000E+02
0.329671430000000E+02,-0.970945250000000E+02
0.329628420000000E+02,-0.971038520000000E+02
0.329623120000000E+02,-0.971044880000000E+02
0.329591540000000E+02,-0.971058670000000E+02
0.329583420000000E+02,-0.971072840000000E+02
0.329632140000000E+02,-0.971047210000000E+02
0.329653290000000E+02,-0.971006910000000E+02
0.329686290000000E+02,-0.970964370000000E+02
0.329727480000000E+02,-0.970940970000000E+02
0.329733820000000E+02,-0.970960560000000E+02
