LAT,LON
0.313983910000000E+02,-0.970429250000000E+02
0.314000270000000E+02,-0.970396390000000E+02
0.314001030000000E+02,-0.970394870000000E+02
0.314106170000000E+02,-0.970182510000000E+02
0.314106170000000E+02,-0.970182510000000E+02
0.314079960000000E+02,-0.970144050000000E+02
0.314072110000000E+02,-0.970120250000000E+02
0.314064980000000E+02,-0.970070340000000E+02
0.314069290000000E+02,-0.969990540000000E+02
0.314070320000000E+02,-0.969987340000000E+02
0.314080320000000E+02,-0.969989930000000E+02
0.314082000000000E+02,-0.969967500000000E+02
0.314072110000000E+02,-0.969944460000000E+02
0.314056590000000E+02,-0.969931640000000E+02
0.314039580000000E+02,-0.969932860000000E+02
0.313981820000000E+02,-0.969955290000000E+02
0.313952370000000E+02,-0.969980320000000E+02
0.313924980000000E+02,-0.970038300000000E+02
0.313918420000000E+02,-0.970100560000000E+02
0.313906820000000E+02,-0.970122990000000E+02
0.313878750000000E+02,-0.970151830000000E+02
0.313824160000000E+02,-0.970168460000000E+02
0.313788920000000E+02,-0.970123600000000E+02
0.313707940000000E+02,-0.969990110000000E+02
0.313699020000000E+02,-0.969963400000000E+02
0.313700410000000E+02,-0.969906270000000E+02
0.313716930000000E+02,-0.969842470000000E+02
0.313735040000000E+02,-0.969810440000000E+02
0.313751730000000E+02,-0.969802700000000E+02
0.313755470000000E+02,-0.969795830000000E+02
0.313768440000000E+02,-0.969737390000000E+02
0.313759280000000E+02,-0.969675270000000E+02
0.313743550000000E+02,-0.969635290000000E+02
0.313706900000000E+02,-0.969585360000000E+02
0.313683310000000E+02,-0.969571210000000E+02
0.313664750000000E+02,-0.969576280000000E+02
0.313642760000000E+02,-0.969603240000000E+02
0.313636570000000E+02,-0.969626200000000E+02
0.313634500000000E+02,-0.969676120000000E+02
0.313625100000000E+02,-0.969696940000000E+02
0.313599910000000E+02,-0.969714280000000E+02
0.313526600000000E+02,-0.969748160000000E+02
0.313506890000000E+02,-0.969768440000000E+02
0.313496350000000E+02,-0.969805540000000E+02
0.313492430000000E+02,-0.969879210000000E+02
0.313472710000000E+02,-0.969931520000000E+02
0.313445430000000E+02,-0.969970200000000E+02
0.313409220000000E+02,-0.970002700000000E+02
0.313394610000000E+02,-0.970006790000000E+02
0.313376300000000E+02,-0.970004170000000E+02
0.313361810000000E+02,-0.969985640000000E+02
0.313345600000000E+02,-0.969836970000000E+02
0.313371970000000E+02,-0.969738230000000E+02
0.313355710000000E+02,-0.969722750000000E+02
0.313330290000000E+02,-0.969724080000000E+02
0.313300740000000E+02,-0.969736880000000E+02
0.313252160000000E+02,-0.969799570000000E+02
0.313249860000000E+02,-0.969822780000000E+02
0.313264500000000E+02,-0.969878290000000E+02
0.313293570000000E+02,-0.969938360000000E+02
0.313299970000000E+02,-0.969963720000000E+02
0.313287950000000E+02,-0.970002700000000E+02
0.313276900000000E+02,-0.970019980000000E+02
0.313262630000000E+02,-0.970031420000000E+02
0.313245540000000E+02,-0.970034020000000E+02
0.313233330000000E+02,-0.970030810000000E+02
0.313219030000000E+02,-0.970018760000000E+02
0.313175810000000E+02,-0.969956700000000E+02
0.313167360000000E+02,-0.969915330000000E+02
0.313163260000000E+02,-0.969847030000000E+02
0.313157070000000E+02,-0.969836880000000E+02
0.313142650000000E+02,-0.969829410000000E+02
0.313128440000000E+02,-0.969831000000000E+02
0.313117900000000E+02,-0.969844600000000E+02
0.313117880000000E+02,-0.969888360000000E+02
0.313097240000000E+02,-0.969957720000000E+02
0.313097240000000E+02,-0.969957720000000E+02
0.313104800000000E+02,-0.969963330000000E+02
0.313109140000000E+02,-0.969978000000000E+02
0.313098980000000E+02,-0.970011740000000E+02
0.313103400000000E+02,-0.970044390000000E+02
0.313118170000000E+02,-0.970078880000000E+02
0.313184430000000E+02,-0.970160060000000E+02
0.313253810000000E+02,-0.970222630000000E+02
0.313279330000000E+02,-0.970228420000000E+02
0.313283640000000E+02,-0.970263520000000E+02
0.313267810000000E+02,-0.970516670000000E+02
0.313227980000000E+02,-0.970606100000000E+02
0.313286990000000E+02,-0.970644550000000E+02
0.313308010000000E+02,-0.970645770000000E+02
0.313320070000000E+02,-0.970638140000000E+02
0.313458340000000E+02,-0.970375990000000E+02
0.313519150000000E+02,-0.970319680000000E+02
0.313532730000000E+02,-0.970312660000000E+02
0.313543330000000E+02,-0.970312660000000E+02
0.313568660000000E+02,-0.970326700000000E+02
0.313591660000000E+02,-0.970330520000000E+02
0.313605470000000E+02,-0.970270400000000E+02
0.313614290000000E+02,-0.970256970000000E+02
0.313637020000000E+02,-0.970256970000000E+02
0.313653960000000E+02,-0.970266580000000E+02
0.313638580000000E+02,-0.970338150000000E+02
0.313903050000000E+02,-0.970379810000000E+02
0.313903050000000E+02,-0.970379810000000E+02
0.313983910000000E+02,-0.970429250000000E+02
END,END
