LAT,LON
0.452132650000000E+02,-0.106768180000000E+03
0.452014680000000E+02,-0.106768121000000E+03
0.451860820000000E+02,-0.106768046000000E+03
0.451796790000000E+02,-0.106768014000000E+03
0.451781800000000E+02,-0.106727512000000E+03
0.451782810000000E+02,-0.106686509000000E+03
0.451776820000000E+02,-0.106666108000000E+03
0.451775550000000E+02,-0.106608094000000E+03
0.451754450000000E+02,-0.106522453000000E+03
0.451774200000000E+02,-0.106522325000000E+03
0.451773730000000E+02,-0.106494753000000E+03
0.451773730000000E+02,-0.106494753000000E+03
0.451771890000000E+02,-0.106398691000000E+03
0.451797890000000E+02,-0.106398690000000E+03
0.451798920000000E+02,-0.106279682000000E+03
0.451798920000000E+02,-0.106279682000000E+03
0.451797920000000E+02,-0.106263682000000E+03
0.450115610000000E+02,-0.106263587000000E+03
0.449937880000000E+02,-0.106263586000000E+03
0.449937880000000E+02,-0.106263586000000E+03
0.449958850000000E+02,-0.106888773000000E+03
0.449959470000000E+02,-0.106892875000000E+03
0.449962861263444E+02,-0.107005153547311E+03
0.449962861263444E+02,-0.107005153547311E+03
0.449999720000000E+02,-0.107005418000000E+03
0.450015950000000E+02,-0.107004962000000E+03
0.450674820000000E+02,-0.107008136000000E+03
0.451091920000000E+02,-0.107010829000000E+03
0.451283600000000E+02,-0.107013524000000E+03
0.451412120000000E+02,-0.107014617000000E+03
0.451580650000000E+02,-0.107020493000000E+03
0.451942030000000E+02,-0.107020232000000E+03
0.451942030000000E+02,-0.107020232000000E+03
0.451934030000000E+02,-0.107019230000000E+03
0.451932190000000E+02,-0.107016999000000E+03
0.451943350000000E+02,-0.107007720000000E+03
0.451963460000000E+02,-0.107006458000000E+03
0.451981980000000E+02,-0.107006779000000E+03
0.451983120000000E+02,-0.107008105000000E+03
0.451988380000000E+02,-0.107008686000000E+03
0.452029760000000E+02,-0.107009652000000E+03
0.452109740000000E+02,-0.107006121000000E+03
0.452140120000000E+02,-0.107001234000000E+03
0.452170320000000E+02,-0.106992586000000E+03
0.452153690000000E+02,-0.106980166000000E+03
0.452165590000000E+02,-0.106975219000000E+03
0.452146630000000E+02,-0.106972469000000E+03
0.452139570000000E+02,-0.106962863000000E+03
0.452171150000000E+02,-0.106951448000000E+03
0.452180290000000E+02,-0.106950251000000E+03
0.452206120000000E+02,-0.106948570000000E+03
0.452288400000000E+02,-0.106953295000000E+03
0.452346690000000E+02,-0.106955626000000E+03
0.452412730000000E+02,-0.106964397000000E+03
0.452431690000000E+02,-0.106966210000000E+03
0.452470780000000E+02,-0.106967345000000E+03
0.452488840000000E+02,-0.106964530000000E+03
0.452495570000000E+02,-0.106958155000000E+03
0.452492070000000E+02,-0.106952525000000E+03
0.452514620000000E+02,-0.106947602000000E+03
0.452521260000000E+02,-0.106940450000000E+03
0.452509130000000E+02,-0.106918542000000E+03
0.452524440000000E+02,-0.106911551000000E+03
0.452527850000000E+02,-0.106905823000000E+03
0.452506120000000E+02,-0.106901262000000E+03
0.452487690000000E+02,-0.106895702000000E+03
0.452471430000000E+02,-0.106886059000000E+03
0.452409910000000E+02,-0.106868801000000E+03
0.452392100000000E+02,-0.106864691000000E+03
0.452373130000000E+02,-0.106863654000000E+03
0.452356460000000E+02,-0.106860579000000E+03
0.452354210000000E+02,-0.106855110000000E+03
0.452249600000000E+02,-0.106815865000000E+03
0.452200010000000E+02,-0.106802022000000E+03
0.452196800000000E+02,-0.106796168000000E+03
0.452178270000000E+02,-0.106786013000000E+03
0.452162950000000E+02,-0.106782909000000E+03
0.452133880000000E+02,-0.106771041000000E+03
0.452132650000000E+02,-0.106768180000000E+03
END,END
