LAT,LON
0.409999260000000E+02,-0.114042145000000E+03
0.409999260000000E+02,-0.114013544000000E+03
0.409999260000000E+02,-0.114000842000000E+03
0.409999260000000E+02,-0.113990251000000E+03
0.409999270000000E+02,-0.113749850000000E+03
0.409999270000000E+02,-0.113749850000000E+03
0.409965410000000E+02,-0.113739404000000E+03
0.409936840000000E+02,-0.113738195000000E+03
0.409916490000000E+02,-0.113736322000000E+03
0.409845190000000E+02,-0.113725724000000E+03
0.409758840000000E+02,-0.113698775000000E+03
0.409735520000000E+02,-0.113671109000000E+03
0.409726830000000E+02,-0.113668574000000E+03
0.409716530000000E+02,-0.113667186000000E+03
0.409663710000000E+02,-0.113665498000000E+03
0.409615000000000E+02,-0.113666555000000E+03
0.409593280000000E+02,-0.113667853000000E+03
0.409578880000000E+02,-0.113670447000000E+03
0.409569280000000E+02,-0.113677778000000E+03
0.409495650000000E+02,-0.113691712000000E+03
0.409468430000000E+02,-0.113694576000000E+03
0.409394090000000E+02,-0.113707542000000E+03
0.409374880000000E+02,-0.113708325000000E+03
0.409353380000000E+02,-0.113712093000000E+03
0.409346510000000E+02,-0.113715200000000E+03
0.409284300000000E+02,-0.113721769000000E+03
0.409234880000000E+02,-0.113727796000000E+03
0.409213380000000E+02,-0.113731321000000E+03
0.409195000000000E+02,-0.113748502000000E+03
0.409183790000000E+02,-0.113749466000000E+03
0.409159140000000E+02,-0.113754045000000E+03
0.409119180000000E+02,-0.113765773000000E+03
0.409099980000000E+02,-0.113768336000000E+03
0.409089230000000E+02,-0.113768578000000E+03
0.409053810000000E+02,-0.113773975000000E+03
0.408953480000000E+02,-0.113796580000000E+03
0.408887860000000E+02,-0.113800770000000E+03
0.408848070000000E+02,-0.113802458000000E+03
0.408792280000000E+02,-0.113806828000000E+03
0.408759360000000E+02,-0.113813064000000E+03
0.408743660000000E+02,-0.113821414000000E+03
0.408706930000000E+02,-0.113831585000000E+03
0.408673090000000E+02,-0.113827466000000E+03
0.408171960000000E+02,-0.113896596000000E+03
0.408041690000000E+02,-0.113928831000000E+03
0.407980180000000E+02,-0.113938519000000E+03
0.407965320000000E+02,-0.113938940000000E+03
0.407933770000000E+02,-0.113942731000000E+03
0.407915700000000E+02,-0.113948747000000E+03
0.407899460000000E+02,-0.113950853000000E+03
0.407864250000000E+02,-0.113952597000000E+03
0.407852810000000E+02,-0.113952596000000E+03
0.407841840000000E+02,-0.113951513000000E+03
0.407835440000000E+02,-0.113951573000000E+03
0.407809820000000E+02,-0.113958039000000E+03
0.407770000000000E+02,-0.113971213000000E+03
0.407711890000000E+02,-0.113983450000000E+03
0.407619830000000E+02,-0.113969700000000E+03
0.407380240000000E+02,-0.113947872000000E+03
0.407364690000000E+02,-0.113945858000000E+03
0.407363780000000E+02,-0.113938974000000E+03
0.407359900000000E+02,-0.113937952000000E+03
0.407195720000000E+02,-0.113947447000000E+03
0.407184510000000E+02,-0.113951323000000E+03
0.407127580000000E+02,-0.113943569000000E+03
0.407108380000000E+02,-0.113942037000000E+03
0.407098090000000E+02,-0.113942157000000E+03
0.406912630000000E+02,-0.113960417000000E+03
0.406898220000000E+02,-0.113961288000000E+03
0.406841750000000E+02,-0.113957772000000E+03
0.406769270000000E+02,-0.113957048000000E+03
0.406640310000000E+02,-0.113959266000000E+03
0.406620640000000E+02,-0.113961037000000E+03
0.406613330000000E+02,-0.113957704000000E+03
0.406614480000000E+02,-0.113913986000000E+03
0.406597780000000E+02,-0.113908342000000E+03
0.406574220000000E+02,-0.113904920000000E+03
0.406552950000000E+02,-0.113904501000000E+03
0.406464300000000E+02,-0.113904930000000E+03
0.406067100000000E+02,-0.113905151000000E+03
0.406056240000000E+02,-0.113906515000000E+03
0.406060040000000E+02,-0.113920200000000E+03
0.406077570000000E+02,-0.113921558000000E+03
0.406059380000000E+02,-0.113927002000000E+03
0.406055950000000E+02,-0.113926552000000E+03
0.405965180000000E+02,-0.113926912000000E+03
0.405968350000000E+02,-0.113959219000000E+03
0.405977490000000E+02,-0.113960869000000E+03
0.405992810000000E+02,-0.113962099000000E+03
0.406030990000000E+02,-0.113962641000000E+03
0.406052920000000E+02,-0.113969842000000E+03
0.406067300000000E+02,-0.113977103000000E+03
0.406193710000000E+02,-0.114017640000000E+03
0.406217760000000E+02,-0.114026910000000E+03
0.406269430000000E+02,-0.114036787000000E+03
0.406315752579067E+02,-0.114044270645608E+03
0.406315752579067E+02,-0.114044270645608E+03
0.407262920000000E+02,-0.114043505000000E+03
0.407586660000000E+02,-0.114043831000000E+03
0.407592050000000E+02,-0.114043803000000E+03
0.407716750000000E+02,-0.114043176000000E+03
0.409999260000000E+02,-0.114042145000000E+03
END,END
