LAT,LON
0.386137010000000E+02,-0.783595310000000E+02
0.386133110000000E+02,-0.783572880000000E+02
0.386139020000000E+02,-0.783535690000000E+02
0.386166240000000E+02,-0.783480530000000E+02
0.386192570000000E+02,-0.783448230000000E+02
0.386231130000000E+02,-0.783437750000000E+02
0.386256740000000E+02,-0.783411300000000E+02
0.386272820000000E+02,-0.783383200000000E+02
0.386272820000000E+02,-0.783383200000000E+02
0.385828820000000E+02,-0.782884890000000E+02
0.385765610000000E+02,-0.782944030000000E+02
0.385777950000000E+02,-0.782949910000000E+02
0.385783430000000E+02,-0.782966960000000E+02
0.385773470000000E+02,-0.782996360000000E+02
0.385764110000000E+02,-0.783005380000000E+02
0.385659620000000E+02,-0.782995050000000E+02
0.385650640000000E+02,-0.782921380000000E+02
0.385602880000000E+02,-0.782859720000000E+02
0.385544050000000E+02,-0.782808600000000E+02
0.385393190000000E+02,-0.782841570000000E+02
0.385375040000000E+02,-0.782817020000000E+02
0.385361710000000E+02,-0.782829390000000E+02
0.385343890000000E+02,-0.782903900000000E+02
0.385335930000000E+02,-0.782963240000000E+02
0.385325180000000E+02,-0.782974960000000E+02
0.385288560000000E+02,-0.782902540000000E+02
0.385283930000000E+02,-0.782881760000000E+02
0.385294680000000E+02,-0.782863100000000E+02
0.385287220000000E+02,-0.782765270000000E+02
0.385295730000000E+02,-0.782685150000000E+02
0.385297820000000E+02,-0.782680680000000E+02
0.385352980000000E+02,-0.782754440000000E+02
0.385413120000000E+02,-0.782691790000000E+02
0.385413120000000E+02,-0.782691790000000E+02
0.385332770000000E+02,-0.782559920000000E+02
0.385326372768555E+02,-0.782534870199219E+02
0.385335760000000E+02,-0.782467780000000E+02
0.385352840000000E+02,-0.782450360000000E+02
0.385347780000000E+02,-0.782439030000000E+02
0.385337060000000E+02,-0.782433790000000E+02
0.385306250000000E+02,-0.782484940000000E+02
0.385311127111328E+02,-0.782536736201172E+02
0.385306900000000E+02,-0.782585060000000E+02
0.385256170000000E+02,-0.782622000000000E+02
0.385253420000000E+02,-0.782628990000000E+02
0.385253420000000E+02,-0.782628990000000E+02
0.385266710000000E+02,-0.782667710000000E+02
0.385261240000000E+02,-0.782719540000000E+02
0.385211920000000E+02,-0.782909080000000E+02
0.385195640000000E+02,-0.782932720000000E+02
0.385183060000000E+02,-0.782935350000000E+02
0.385130920000000E+02,-0.783002030000000E+02
0.385121090000000E+02,-0.783018920000000E+02
0.385120180000000E+02,-0.783045700000000E+02
0.385191770000000E+02,-0.783112950000000E+02
0.385238210000000E+02,-0.783110040000000E+02
0.385244980000000E+02,-0.783115840000000E+02
0.385246540000000E+02,-0.783139330000000E+02
0.385237330000000E+02,-0.783145460000000E+02
0.385180310000000E+02,-0.783146420000000E+02
0.385159370000000E+02,-0.783098490000000E+02
0.385146280000000E+02,-0.783098460000000E+02
0.385071770000000E+02,-0.783168250000000E+02
0.385071640000000E+02,-0.783215610000000E+02
0.385104590000000E+02,-0.783285810000000E+02
0.385102860000000E+02,-0.783320350000000E+02
0.385121620000000E+02,-0.783357610000000E+02
0.385140520000000E+02,-0.783355420000000E+02
0.385144540000000E+02,-0.783369060000000E+02
0.385144920000000E+02,-0.783395200000000E+02
0.385138520000000E+02,-0.783405430000000E+02
0.385104270000000E+02,-0.783422230000000E+02
0.385108460000000E+02,-0.783431060000000E+02
0.385151740000000E+02,-0.783424740000000E+02
0.385271630000000E+02,-0.783388740000000E+02
0.385312230000000E+02,-0.783400350000000E+02
0.385312830000000E+02,-0.783470300000000E+02
0.385334470000000E+02,-0.783472330000000E+02
0.385371260000000E+02,-0.783465600000000E+02
0.385379310000000E+02,-0.783420260000000E+02
0.385422060000000E+02,-0.783379960000000E+02
0.385439560000000E+02,-0.783423580000000E+02
0.385474860000000E+02,-0.783424530000000E+02
0.385491260000000E+02,-0.783429720000000E+02
0.385495060000000E+02,-0.783453340000000E+02
0.385401380000000E+02,-0.783503380000000E+02
0.385391980000000E+02,-0.783536590000000E+02
0.385368030000000E+02,-0.783587170000000E+02
0.385326860000000E+02,-0.783584850000000E+02
0.385312900000000E+02,-0.783553440000000E+02
0.385214300000000E+02,-0.783575020000000E+02
0.385130560000000E+02,-0.783532040000000E+02
0.385157580000000E+02,-0.783598720000000E+02
0.385160530000000E+02,-0.783620050000000E+02
0.385155560000000E+02,-0.783657140000000E+02
0.385101860000000E+02,-0.783681600000000E+02
0.385094930000000E+02,-0.783689340000000E+02
0.385120220000000E+02,-0.783744140000000E+02
0.385073270000000E+02,-0.783715170000000E+02
0.385051520000000E+02,-0.783753070000000E+02
0.385044880000000E+02,-0.783921570000000E+02
0.385006920000000E+02,-0.784008060000000E+02
0.385094450000000E+02,-0.784076270000000E+02
0.385024250000000E+02,-0.784079100000000E+02
0.385015420000000E+02,-0.784058970000000E+02
0.384923300000000E+02,-0.784035050000000E+02
0.384877600000000E+02,-0.784059950000000E+02
0.384853580000000E+02,-0.784044830000000E+02
0.384836640000000E+02,-0.784015740000000E+02
0.384827020000000E+02,-0.783977910000000E+02
0.384816480000000E+02,-0.783956380000000E+02
0.384759040000000E+02,-0.783904620000000E+02
0.384753870000000E+02,-0.783866990000000E+02
0.384796110000000E+02,-0.783853720000000E+02
0.384767400000000E+02,-0.783706160000000E+02
0.384763780000000E+02,-0.783662690000000E+02
0.384752310000000E+02,-0.783655790000000E+02
0.384576850000000E+02,-0.783603510000000E+02
0.384560500000000E+02,-0.783608670000000E+02
0.384560500000000E+02,-0.783608670000000E+02
0.384533740000000E+02,-0.783599930000000E+02
0.384514570000000E+02,-0.783579670000000E+02
0.384496820000000E+02,-0.783543130000000E+02
0.384453360000000E+02,-0.783572710000000E+02
0.384435560000000E+02,-0.783660220000000E+02
0.384413950000000E+02,-0.783677700000000E+02
0.384377690000000E+02,-0.783669940000000E+02
0.384349350000000E+02,-0.783613780000000E+02
0.384313190000000E+02,-0.783631800000000E+02
0.384282750000000E+02,-0.783663770000000E+02
0.384252330000000E+02,-0.783683520000000E+02
0.384229220000000E+02,-0.783683790000000E+02
0.384229360000000E+02,-0.783725660000000E+02
0.384215480000000E+02,-0.783844520000000E+02
0.384221000000000E+02,-0.783907030000000E+02
0.384198370000000E+02,-0.783961430000000E+02
0.384181900000000E+02,-0.783975110000000E+02
0.384174830000000E+02,-0.784016400000000E+02
0.384181920000000E+02,-0.784036460000000E+02
0.384205270000000E+02,-0.784057090000000E+02
0.384221970000000E+02,-0.784081800000000E+02
0.384232740000000E+02,-0.784137630000000E+02
0.384263630000000E+02,-0.784234170000000E+02
0.384266610000000E+02,-0.784271970000000E+02
0.384261810000000E+02,-0.784282730000000E+02
0.384279880000000E+02,-0.784318500000000E+02
0.384326860000000E+02,-0.784339530000000E+02
0.384326860000000E+02,-0.784339530000000E+02
0.384364990000000E+02,-0.784346990000000E+02
0.384383060000000E+02,-0.784356880000000E+02
0.384467020000000E+02,-0.784370550000000E+02
0.384506370000000E+02,-0.784351930000000E+02
0.384542980000000E+02,-0.784362400000000E+02
0.384586220000000E+02,-0.784408070000000E+02
0.384590100000000E+02,-0.784429310000000E+02
0.384600460000000E+02,-0.784444990000000E+02
0.384657740000000E+02,-0.784474080000000E+02
0.384674020000000E+02,-0.784475420000000E+02
0.384695480000000E+02,-0.784484740000000E+02
0.384755080000000E+02,-0.784529180000000E+02
0.384755080000000E+02,-0.784529180000000E+02
0.384814860000000E+02,-0.784497700000000E+02
0.384894240000000E+02,-0.784445040000000E+02
0.384896580000000E+02,-0.784422730000000E+02
0.384903440000000E+02,-0.784415670000000E+02
0.384943770000000E+02,-0.784422760000000E+02
0.384950790000000E+02,-0.784432380000000E+02
0.384951030000000E+02,-0.784443540000000E+02
0.384985880000000E+02,-0.784467600000000E+02
0.384985880000000E+02,-0.784467600000000E+02
0.385000900000000E+02,-0.784459280000000E+02
0.385001250000000E+02,-0.784459220000000E+02
0.385056740000000E+02,-0.784424860000000E+02
0.385085670000000E+02,-0.784423030000000E+02
0.385116290000000E+02,-0.784430930000000E+02
0.385191240000000E+02,-0.784369320000000E+02
0.385216810000000E+02,-0.784362060000000E+02
0.385277510000000E+02,-0.784428900000000E+02
0.385308900000000E+02,-0.784381850000000E+02
0.385265880000000E+02,-0.784332470000000E+02
0.385263330000000E+02,-0.784319450000000E+02
0.385268690000000E+02,-0.784303310000000E+02
0.385300330000000E+02,-0.784282040000000E+02
0.385333990000000E+02,-0.784225170000000E+02
0.385343720000000E+02,-0.784198800000000E+02
0.385416260000000E+02,-0.784159760000000E+02
0.385471760000000E+02,-0.784138880000000E+02
0.385477330000000E+02,-0.784133160000000E+02
0.385516900000000E+02,-0.784060530000000E+02
0.385556200000000E+02,-0.783953590000000E+02
0.385546960000000E+02,-0.783895510000000E+02
0.385575570000000E+02,-0.783853530000000E+02
0.385619530000000E+02,-0.783807500000000E+02
0.385677450000000E+02,-0.783812620000000E+02
0.385689740000000E+02,-0.783832280000000E+02
0.385710240000000E+02,-0.783842390000000E+02
0.385726280000000E+02,-0.783841100000000E+02
0.385735600000000E+02,-0.783835220000000E+02
0.385766030000000E+02,-0.783829500000000E+02
0.385786690000000E+02,-0.783847680000000E+02
0.385826280000000E+02,-0.783857960000000E+02
0.385882910000000E+02,-0.783833280000000E+02
0.385901010000000E+02,-0.783810400000000E+02
0.385904150000000E+02,-0.783795990000000E+02
0.385944580000000E+02,-0.783742350000000E+02
0.386033980000000E+02,-0.783677540000000E+02
0.386062020000000E+02,-0.783664450000000E+02
0.386091140000000E+02,-0.783648130000000E+02
0.386102630000000E+02,-0.783636430000000E+02
0.386122010000000E+02,-0.783627200000000E+02
0.386129140000000E+02,-0.783604850000000E+02
0.386137010000000E+02,-0.783595310000000E+02
END,END
