LAT,LON
0.384805690000000E+02,-0.786277100000000E+02
0.384840260000000E+02,-0.786320200000000E+02
0.384856740000000E+02,-0.786330080000000E+02
0.384878480000000E+02,-0.786335590000000E+02
0.384903870000000E+02,-0.786331200000000E+02
0.384952100000000E+02,-0.786309750000000E+02
0.384950240000000E+02,-0.786305260000000E+02
0.384923430000000E+02,-0.786313350000000E+02
0.384896630000000E+02,-0.786329130000000E+02
0.384871970000000E+02,-0.786330550000000E+02
0.384845360000000E+02,-0.786320210000000E+02
0.384811970000000E+02,-0.786271840000000E+02
0.384765900000000E+02,-0.786191590000000E+02
0.384746580000000E+02,-0.786177490000000E+02
0.384719420000000E+02,-0.786178900000000E+02
0.384673450000000E+02,-0.786221200000000E+02
0.384660830000000E+02,-0.786230600000000E+02
0.384656870000000E+02,-0.786227540000000E+02
0.384656870000000E+02,-0.786227540000000E+02
0.384587670000000E+02,-0.786297420000000E+02
0.384580360000000E+02,-0.786316050000000E+02
0.384580380000000E+02,-0.786358250000000E+02
0.384561160000000E+02,-0.786371940000000E+02
0.384553380000000E+02,-0.786362920000000E+02
0.384536650000000E+02,-0.786308520000000E+02
0.384524750000000E+02,-0.786292820000000E+02
0.384497980000000E+02,-0.786301860000000E+02
0.384452250000000E+02,-0.786347290000000E+02
0.384436010000000E+02,-0.786369990000000E+02
0.384429150000000E+02,-0.786370290000000E+02
0.384416100000000E+02,-0.786357790000000E+02
0.384348550000000E+02,-0.786253120000000E+02
0.384333940000000E+02,-0.786243450000000E+02
0.384305900000000E+02,-0.786247380000000E+02
0.384277170000000E+02,-0.786258710000000E+02
0.384238310000000E+02,-0.786316050000000E+02
0.384204470000000E+02,-0.786344570000000E+02
0.384152540000000E+02,-0.786353630000000E+02
0.384100370000000E+02,-0.786353660000000E+02
0.384072460000000E+02,-0.786358920000000E+02
0.384058500000000E+02,-0.786358640000000E+02
0.384053240000000E+02,-0.786352830000000E+02
0.384051850000000E+02,-0.786325500000000E+02
0.384033530000000E+02,-0.786294690000000E+02
0.383984550000000E+02,-0.786251600000000E+02
0.383974020000000E+02,-0.786250740000000E+02
0.383972460000000E+02,-0.786244180000000E+02
0.383936760000000E+02,-0.786244310000000E+02
0.383932380000000E+02,-0.786251340000000E+02
0.383907910000000E+02,-0.786265140000000E+02
0.383902670000000E+02,-0.786304970000000E+02
0.383885520000000E+02,-0.786324460000000E+02
0.383866070000000E+02,-0.786322440000000E+02
0.383856690000000E+02,-0.786327680000000E+02
0.383853950000000E+02,-0.786335530000000E+02
0.383852820000000E+02,-0.786371870000000E+02
0.383858550000000E+02,-0.786405000000000E+02
0.383876420000000E+02,-0.786456450000000E+02
0.383898630000000E+02,-0.786501200000000E+02
0.383901390000000E+02,-0.786535500000000E+02
0.383888130000000E+02,-0.786579110000000E+02
0.383874180000000E+02,-0.786601500000000E+02
0.383835750000000E+02,-0.786643380000000E+02
0.383809210000000E+02,-0.786696580000000E+02
0.383679000000000E+02,-0.786805540000000E+02
0.383655660000000E+02,-0.786857280000000E+02
0.383644450000000E+02,-0.786917140000000E+02
0.383633930000000E+02,-0.786921210000000E+02
0.383583820000000E+02,-0.786922670000000E+02
0.383562770000000E+02,-0.786937190000000E+02
0.383534630000000E+02,-0.786977580000000E+02
0.383504880000000E+02,-0.787044120000000E+02
0.383449730000000E+02,-0.787086530000000E+02
0.383436230000000E+02,-0.787106570000000E+02
0.383414480000000E+02,-0.787150720000000E+02
0.383395940000000E+02,-0.787206500000000E+02
0.383375800000000E+02,-0.787228280000000E+02
0.383365730000000E+02,-0.787222760000000E+02
0.383356110000000E+02,-0.787239890000000E+02
0.383354510000000E+02,-0.787254710000000E+02
0.383368220000000E+02,-0.787296250000000E+02
0.383372100000000E+02,-0.787341280000000E+02
0.383356500000000E+02,-0.787434820000000E+02
0.383345510000000E+02,-0.787444980000000E+02
0.383334990000000E+02,-0.787443810000000E+02
0.383325610000000E+02,-0.787434210000000E+02
0.383308020000000E+02,-0.787374940000000E+02
0.383263640000000E+02,-0.787349930000000E+02
0.383253580000000E+02,-0.787336850000000E+02
0.383249010000000E+02,-0.787305770000000E+02
0.383238270000000E+02,-0.787298220000000E+02
0.383219740000000E+02,-0.787300240000000E+02
0.383198500000000E+02,-0.787323290000000E+02
0.383198500000000E+02,-0.787323290000000E+02
0.383187460000000E+02,-0.787342040000000E+02
0.383179210000000E+02,-0.787376900000000E+02
0.383173010000000E+02,-0.787435560000000E+02
0.383216310000000E+02,-0.787497450000000E+02
0.383218490000000E+02,-0.787548840000000E+02
0.383211410000000E+02,-0.787572080000000E+02
0.383164330000000E+02,-0.787663600000000E+02
0.383119700000000E+02,-0.787707810000000E+02
0.383119700000000E+02,-0.787707810000000E+02
0.383128460000000E+02,-0.787711880000000E+02
0.383128460000000E+02,-0.787711880000000E+02
0.383157470000000E+02,-0.787681040000000E+02
0.383189480000000E+02,-0.787614790000000E+02
0.383221020000000E+02,-0.787565390000000E+02
0.383226720000000E+02,-0.787522980000000E+02
0.383222030000000E+02,-0.787497450000000E+02
0.383213710000000E+02,-0.787478570000000E+02
0.383178730000000E+02,-0.787436140000000E+02
0.383183780000000E+02,-0.787377190000000E+02
0.383201420000000E+02,-0.787328110000000E+02
0.383225000000000E+02,-0.787308960000000E+02
0.383240310000000E+02,-0.787312740000000E+02
0.383256320000000E+02,-0.787354570000000E+02
0.383298410000000E+02,-0.787379870000000E+02
0.383309370000000E+02,-0.787424330000000E+02
0.383320350000000E+02,-0.787444380000000E+02
0.383334070000000E+02,-0.787455430000000E+02
0.383349630000000E+02,-0.787451660000000E+02
0.383366800000000E+02,-0.787426690000000E+02
0.383378950000000E+02,-0.787365100000000E+02
0.383379670000000E+02,-0.787271570000000E+02
0.383414020000000E+02,-0.787171640000000E+02
0.383441030000000E+02,-0.787112670000000E+02
0.383502590000000E+02,-0.787054290000000E+02
0.383502590000000E+02,-0.787054290000000E+02
0.383536910000000E+02,-0.786982810000000E+02
0.383567120000000E+02,-0.786942720000000E+02
0.383593890000000E+02,-0.786929060000000E+02
0.383638730000000E+02,-0.786931380000000E+02
0.383650170000000E+02,-0.786922380000000E+02
0.383660240000000E+02,-0.786861640000000E+02
0.383678080000000E+02,-0.786817170000000E+02
0.383803500000000E+02,-0.786716060000000E+02
0.383836890000000E+02,-0.786652390000000E+02
0.383889730000000E+02,-0.786584930000000E+02
0.383908250000000E+02,-0.786535790000000E+02
0.383907320000000E+02,-0.786501200000000E+02
0.383896330000000E+02,-0.786465160000000E+02
0.383887860000000E+02,-0.786461090000000E+02
0.383862900000000E+02,-0.786393370000000E+02
0.383857610000000E+02,-0.786346580000000E+02
0.383864240000000E+02,-0.786331460000000E+02
0.383887350000000E+02,-0.786332020000000E+02
0.383894670000000E+02,-0.786325330000000E+02
0.383909300000000E+02,-0.786300610000000E+02
0.383917980000000E+02,-0.786269500000000E+02
0.383948400000000E+02,-0.786253180000000E+02
0.383995540000000E+02,-0.786268260000000E+02
0.384039270000000E+02,-0.786317080000000E+02
0.384047060000000E+02,-0.786359520000000E+02
0.384060800000000E+02,-0.786368230000000E+02
0.384127600000000E+02,-0.786365570000000E+02
0.384210880000000E+02,-0.786350380000000E+02
0.384236480000000E+02,-0.786327970000000E+02
0.384279010000000E+02,-0.786268310000000E+02
0.384308740000000E+02,-0.786254320000000E+02
0.384336200000000E+02,-0.786255750000000E+02
0.384348790000000E+02,-0.786262720000000E+02
0.384389550000000E+02,-0.786333090000000E+02
0.384425260000000E+02,-0.786378150000000E+02
0.384434410000000E+02,-0.786377850000000E+02
0.384449280000000E+02,-0.786365910000000E+02
0.384467570000000E+02,-0.786338830000000E+02
0.384493640000000E+02,-0.786312920000000E+02
0.384512850000000E+02,-0.786301560000000E+02
0.384523150000000E+02,-0.786303580000000E+02
0.384528420000000E+02,-0.786310560000000E+02
0.384541940000000E+02,-0.786357110000000E+02
0.384553850000000E+02,-0.786376890000000E+02
0.384575810000000E+02,-0.786371340000000E+02
0.384587460000000E+02,-0.786347760000000E+02
0.384588130000000E+02,-0.786311390000000E+02
0.384594760000000E+02,-0.786299450000000E+02
0.384727030000000E+02,-0.786183430000000E+02
0.384740760000000E+02,-0.786182570000000E+02
0.384762940000000E+02,-0.786197140000000E+02
0.384805690000000E+02,-0.786277100000000E+02
END,END
0.383702950000000E+02,-0.789581930000000E+02
0.383692310000000E+02,-0.789549770000000E+02
0.383657540000000E+02,-0.789503550000000E+02
0.383597360000000E+02,-0.789458210000000E+02
0.383539010000000E+02,-0.789447740000000E+02
0.383488440000000E+02,-0.789469820000000E+02
0.383477000000000E+02,-0.789462560000000E+02
0.383446570000000E+02,-0.789414620000000E+02
0.383455790000000E+02,-0.789333120000000E+02
0.383455790000000E+02,-0.789333120000000E+02
0.383451290000000E+02,-0.789334120000000E+02
0.383451290000000E+02,-0.789334120000000E+02
0.383441310000000E+02,-0.789416360000000E+02
0.383460990000000E+02,-0.789448320000000E+02
0.383486610000000E+02,-0.789478830000000E+02
0.383493480000000E+02,-0.789479410000000E+02
0.383517270000000E+02,-0.789469540000000E+02
0.383531450000000E+02,-0.789454140000000E+02
0.383531450000000E+02,-0.789454140000000E+02
0.383551360000000E+02,-0.789452680000000E+02
0.383596900000000E+02,-0.789464600000000E+02
0.383673100000000E+02,-0.789529420000000E+02
0.383688880000000E+02,-0.789554420000000E+02
0.383703750000000E+02,-0.789608490000000E+02
0.383701910000000E+02,-0.789629120000000E+02
0.383691840000000E+02,-0.789639290000000E+02
0.383680170000000E+02,-0.789639000000000E+02
0.383675350000000E+02,-0.789645700000000E+02
0.383679400000000E+02,-0.789711600000000E+02
0.383705100000000E+02,-0.789728530000000E+02
0.383727980000000E+02,-0.789718650000000E+02
0.383744680000000E+02,-0.789729130000000E+02
0.383818230000000E+02,-0.789834150000000E+02
0.383854590000000E+02,-0.789902200000000E+02
0.383864430000000E+02,-0.789905120000000E+02
0.383882696644531E+02,-0.789891758457031E+02
0.383897120644531E+02,-0.789865082457031E+02
0.383928730000000E+02,-0.789871150000000E+02
0.383924640000000E+02,-0.789812700000000E+02
0.383916170000000E+02,-0.789810370000000E+02
0.383905180000000E+02,-0.789820830000000E+02
0.383877302413086E+02,-0.789874025464844E+02
0.383857110000000E+02,-0.789896970000000E+02
0.383763120000000E+02,-0.789732380000000E+02
0.383755110000000E+02,-0.789707670000000E+02
0.383741940000000E+02,-0.789701800000000E+02
0.383728900000000E+02,-0.789709350000000E+02
0.383704870000000E+02,-0.789710220000000E+02
0.383695490000000E+02,-0.789702660000000E+02
0.383695730000000E+02,-0.789652370000000E+02
0.383709010000000E+02,-0.789625060000000E+02
0.383702950000000E+02,-0.789581930000000E+02
END,END
0.382980310000000E+02,-0.788103720000000E+02
0.382978610000000E+02,-0.788105420000000E+02
0.382989520000000E+02,-0.788131390000000E+02
0.383023380000000E+02,-0.788188570000000E+02
0.383074950000000E+02,-0.788256500000000E+02
0.383084640000000E+02,-0.788273360000000E+02
0.383090190000000E+02,-0.788285270000000E+02
0.383093330000000E+02,-0.788312220000000E+02
0.383086510000000E+02,-0.788329460000000E+02
0.383076900000000E+02,-0.788340290000000E+02
0.383054370000000E+02,-0.788357590000000E+02
0.383021450000000E+02,-0.788375410000000E+02
0.382995900000000E+02,-0.788400920000000E+02
0.382956370000000E+02,-0.788432700000000E+02
0.382951680000000E+02,-0.788444200000000E+02
0.382955550000000E+02,-0.788499030000000E+02
0.382954780000000E+02,-0.788517050000000E+02
0.382954780000000E+02,-0.788517050000000E+02
0.382948370000000E+02,-0.788528660000000E+02
0.382933030000000E+02,-0.788528650000000E+02
0.382914730000000E+02,-0.788508900000000E+02
0.382882020000000E+02,-0.788494950000000E+02
0.382860050000000E+02,-0.788495230000000E+02
0.382820170000000E+02,-0.788510920000000E+02
0.382820170000000E+02,-0.788510920000000E+02
0.382793230000000E+02,-0.788525670000000E+02
0.382781330000000E+02,-0.788540180000000E+02
0.382781330000000E+02,-0.788540180000000E+02
0.382783440000000E+02,-0.788541590000000E+02
0.382785220000000E+02,-0.788542790000000E+02
0.382785220000000E+02,-0.788542790000000E+02
0.382803300000000E+02,-0.788524230000000E+02
0.382816570000000E+02,-0.788517270000000E+02
0.382872860000000E+02,-0.788499300000000E+02
0.382881790000000E+02,-0.788499880000000E+02
0.382900780000000E+02,-0.788506280000000E+02
0.382916330000000E+02,-0.788524580000000E+02
0.382931660000000E+02,-0.788535040000000E+02
0.382946760000000E+02,-0.788535040000000E+02
0.382955690000000E+02,-0.788527790000000E+02
0.382958210000000E+02,-0.788521700000000E+02
0.382959130000000E+02,-0.788503690000000E+02
0.382955020000000E+02,-0.788451720000000E+02
0.382957540000000E+02,-0.788434880000000E+02
0.382992790000000E+02,-0.788406150000000E+02
0.383022310000000E+02,-0.788377420000000E+02
0.383065340000000E+02,-0.788353910000000E+02
0.383079070000000E+02,-0.788342880000000E+02
0.383092570000000E+02,-0.788326330000000E+02
0.383096010000000E+02,-0.788303680000000E+02
0.383093490000000E+02,-0.788288290000000E+02
0.383079310000000E+02,-0.788256630000000E+02
0.383048650000000E+02,-0.788216560000000E+02
0.383048650000000E+02,-0.788216560000000E+02
0.383029430000000E+02,-0.788194200000000E+02
0.382980310000000E+02,-0.788103720000000E+02
END,END
