LAT,LON
0.372000450000000E+02,-0.801408040000000E+02
0.371945730000000E+02,-0.801357550000000E+02
0.371858220000000E+02,-0.801309040000000E+02
0.371828680000000E+02,-0.801298780000000E+02
0.371782570000000E+02,-0.801200700000000E+02
0.371822420000000E+02,-0.801030910000000E+02
0.371828390000000E+02,-0.800977980000000E+02
0.371822450000000E+02,-0.800945070000000E+02
0.371798630000000E+02,-0.800947240000000E+02
0.371768880000000E+02,-0.800928170000000E+02
0.371701620000000E+02,-0.800868440000000E+02
0.371701620000000E+02,-0.800868440000000E+02
0.371690130000000E+02,-0.800862920000000E+02
0.371672970000000E+02,-0.800841460000000E+02
0.371654440000000E+02,-0.800797400000000E+02
0.371644820000000E+02,-0.800789390000000E+02
0.371640790000000E+02,-0.800787950000000E+02
0.371623980000000E+02,-0.800803920000000E+02
0.371610540000000E+02,-0.800826720000000E+02
0.371610540000000E+02,-0.800826720000000E+02
0.371620170000000E+02,-0.800859310000000E+02
0.371604820000000E+02,-0.800885530000000E+02
0.371565750000000E+02,-0.800903560000000E+02
0.371546830000000E+02,-0.800898960000000E+02
0.371529860000000E+02,-0.800898680000000E+02
0.371524140000000E+02,-0.800898950000000E+02
0.371515420000000E+02,-0.800926040000000E+02
0.371515750000000E+02,-0.800964850000000E+02
0.371499070000000E+02,-0.800982320000000E+02
0.371509210000000E+02,-0.801017800000000E+02
0.371500800000000E+02,-0.801043170000000E+02
0.371489120000000E+02,-0.801046830000000E+02
0.371479330000000E+02,-0.801066180000000E+02
0.371441990000000E+02,-0.801071780000000E+02
0.371437310000000E+02,-0.801076180000000E+02
0.371387480000000E+02,-0.801068670000000E+02
0.371373610000000E+02,-0.801077510000000E+02
0.371345510000000E+02,-0.801115330000000E+02
0.371319810000000E+02,-0.801173970000000E+02
0.371316950000000E+02,-0.801222230000000E+02
0.371293240000000E+02,-0.801222910000000E+02
0.371285880000000E+02,-0.801220560000000E+02
0.371248070000000E+02,-0.801261610000000E+02
0.371248070000000E+02,-0.801261610000000E+02
0.371229120000000E+02,-0.801281190000000E+02
0.371229120000000E+02,-0.801281190000000E+02
0.371232410000000E+02,-0.801304230000000E+02
0.371204060000000E+02,-0.801382580000000E+02
0.371117760000000E+02,-0.801541200000000E+02
0.371089650000000E+02,-0.801621890000000E+02
0.371107200000000E+02,-0.801654820000000E+02
0.371106440000000E+02,-0.801669050000000E+02
0.371081560000000E+02,-0.801722650000000E+02
0.371127600000000E+02,-0.801783540000000E+02
0.371134350000000E+02,-0.801780320000000E+02
0.371134350000000E+02,-0.801780320000000E+02
0.371222190000000E+02,-0.801779630000000E+02
0.371257650000000E+02,-0.801774850000000E+02
0.371257650000000E+02,-0.801774850000000E+02
0.371330710000000E+02,-0.801764430000000E+02
0.371538240000000E+02,-0.801805210000000E+02
0.371538240000000E+02,-0.801805210000000E+02
0.371535820000000E+02,-0.801734490000000E+02
0.371531930000000E+02,-0.801727340000000E+02
0.371521160000000E+02,-0.801721620000000E+02
0.371488650000000E+02,-0.801719340000000E+02
0.371456820000000E+02,-0.801678450000000E+02
0.371395000000000E+02,-0.801650150000000E+02
0.371374160000000E+02,-0.801611840000000E+02
0.371368880000000E+02,-0.801546920000000E+02
0.371378940000000E+02,-0.801511460000000E+02
0.371446240000000E+02,-0.801463090000000E+02
0.371546720000000E+02,-0.801407840000000E+02
0.371595950000000E+02,-0.801418390000000E+02
0.371626180000000E+02,-0.801438110000000E+02
0.371695060000000E+02,-0.801360250000000E+02
0.371730080000000E+02,-0.801332480000000E+02
0.371742210000000E+02,-0.801328180000000E+02
0.371774730000000E+02,-0.801351330000000E+02
0.371792610000000E+02,-0.801400240000000E+02
0.371843210000000E+02,-0.801397350000000E+02
0.371857170000000E+02,-0.801384750000000E+02
0.371869990000000E+02,-0.801387890000000E+02
0.371886940000000E+02,-0.801398750000000E+02
0.371894040000000E+02,-0.801414490000000E+02
0.371921300000000E+02,-0.801443660000000E+02
0.371969150000000E+02,-0.801434760000000E+02
0.371976690000000E+02,-0.801417870000000E+02
0.371993170000000E+02,-0.801405840000000E+02
0.372000450000000E+02,-0.801408040000000E+02
END,END
