LAT,LON
0.433668520000000E+02,-0.727917730000000E+02
0.433584840000000E+02,-0.727705760000000E+02
0.433584840000000E+02,-0.727705760000000E+02
0.433541440000000E+02,-0.727597990000000E+02
0.433541440000000E+02,-0.727597990000000E+02
0.432795530000000E+02,-0.727640760000000E+02
0.432697610000000E+02,-0.727567570000000E+02
0.432500740000000E+02,-0.727558330000000E+02
0.432398050000000E+02,-0.727558120000000E+02
0.432398050000000E+02,-0.727558120000000E+02
0.432554980000000E+02,-0.728193680000000E+02
0.432554980000000E+02,-0.728193680000000E+02
0.432992100000000E+02,-0.728199000000000E+02
0.433007420000000E+02,-0.728679020000000E+02
0.433007420000000E+02,-0.728679020000000E+02
0.433469690000000E+02,-0.728660730000000E+02
0.433475830000000E+02,-0.728536890000000E+02
0.433710760000000E+02,-0.728534390000000E+02
0.433710760000000E+02,-0.728534390000000E+02
0.433723390000000E+02,-0.728258100000000E+02
0.433802900000000E+02,-0.728259130000000E+02
0.433668520000000E+02,-0.727917730000000E+02
END,END
