LAT,LON
0.465121430000000E+02,-0.123650280000000E+03
0.465090460000000E+02,-0.123643563000000E+03
0.465072020000000E+02,-0.123636451000000E+03
0.465070970000000E+02,-0.123625059000000E+03
0.465100400000000E+02,-0.123617332000000E+03
0.465098950000000E+02,-0.123614521000000E+03
0.465088560000000E+02,-0.123613410000000E+03
0.465041780000000E+02,-0.123611557000000E+03
0.465009770000000E+02,-0.123603986000000E+03
0.464969440000000E+02,-0.123601644000000E+03
0.464953680000000E+02,-0.123601476000000E+03
0.464945350000000E+02,-0.123600871000000E+03
0.464937220000000E+02,-0.123594809000000E+03
0.464936620000000E+02,-0.123592341000000E+03
0.464949200000000E+02,-0.123587760000000E+03
0.464959260000000E+02,-0.123586503000000E+03
0.464986700000000E+02,-0.123584849000000E+03
0.464935520000000E+02,-0.123578460000000E+03
0.464925010000000E+02,-0.123574718000000E+03
0.464927300000000E+02,-0.123568894000000E+03
0.464943530000000E+02,-0.123566974000000E+03
0.464953360000000E+02,-0.123566875000000E+03
0.464980320000000E+02,-0.123569292000000E+03
0.464974600000000E+02,-0.123572337000000E+03
0.464983280000000E+02,-0.123576442000000E+03
0.465043510000000E+02,-0.123577233000000E+03
0.465067110000000E+02,-0.123578607000000E+03
0.465078700000000E+02,-0.123575516000000E+03
0.465102060411133E+02,-0.123572888883984E+03
0.465134710000000E+02,-0.123571710000000E+03
0.465177680000000E+02,-0.123568333000000E+03
0.465210830000000E+02,-0.123562869000000E+03
0.465198590000000E+02,-0.123562949000000E+03
0.465183630000000E+02,-0.123565949000000E+03
0.465128990000000E+02,-0.123570617000000E+03
0.465115740000000E+02,-0.123569955000000E+03
0.465061330000000E+02,-0.123565551000000E+03
0.464967980000000E+02,-0.123556846000000E+03
0.464877450000000E+02,-0.123544337000000E+03
0.464761310000000E+02,-0.123534315000000E+03
0.464737990000000E+02,-0.123531669000000E+03
0.464728610000000E+02,-0.123529354000000E+03
0.464719430000000E+02,-0.123520256000000E+03
0.464764850000000E+02,-0.123496729000000E+03
0.464759150000000E+02,-0.123493948000000E+03
0.464738370000000E+02,-0.123490009000000E+03
0.464784760000000E+02,-0.123489263000000E+03
0.464750990000000E+02,-0.123479092000000E+03
0.464810920000000E+02,-0.123464736000000E+03
0.464803160000000E+02,-0.123459308000000E+03
0.464778700000000E+02,-0.123458546000000E+03
0.464772070000000E+02,-0.123457619000000E+03
0.464759970000000E+02,-0.123451200000000E+03
0.464765230000000E+02,-0.123438957000000E+03
0.464773010000000E+02,-0.123436773000000E+03
0.464762950000000E+02,-0.123437832000000E+03
0.464756090000000E+02,-0.123439751000000E+03
0.464733131824219E+02,-0.123451357177539E+03
0.464734637824219E+02,-0.123454076977539E+03
0.464704640000000E+02,-0.123459469000000E+03
0.464693210000000E+02,-0.123458707000000E+03
0.464675610000000E+02,-0.123458839000000E+03
0.464658230000000E+02,-0.123459698000000E+03
0.464552390000000E+02,-0.123469186000000E+03
0.464466450000000E+02,-0.123462368000000E+03
0.464374100000000E+02,-0.123462264000000E+03
0.464318100000000E+02,-0.123462757000000E+03
0.464307350000000E+02,-0.123463748000000E+03
0.464300500000000E+02,-0.123463087000000E+03
0.464278790000000E+02,-0.123455383000000E+03
0.464284750000000E+02,-0.123446391000000E+03
0.464274690000000E+02,-0.123441763000000E+03
0.464267870000000E+02,-0.123440882000000E+03
0.464265700000000E+02,-0.123494515000000E+03
0.464284830000000E+02,-0.123498789000000E+03
0.464291010000000E+02,-0.123503889000000E+03
0.464284180000000E+02,-0.123513212000000E+03
0.464279160000000E+02,-0.123514535000000E+03
0.464266110000000E+02,-0.123514944000000E+03
0.464266420000000E+02,-0.123531131000000E+03
0.464252470000000E+02,-0.123530834000000E+03
0.464233960000000E+02,-0.123532058000000E+03
0.464165650000000E+02,-0.123548686000000E+03
