LAT,LON
0.490002610000000E+02,-0.119457700000000E+03
0.490002530000000E+02,-0.119428678000000E+03
0.490002530000000E+02,-0.119428678000000E+03
0.489979080000000E+02,-0.119429031000000E+03
0.489971770000000E+02,-0.119429586000000E+03
0.489956460000000E+02,-0.119433578000000E+03
0.489937510000000E+02,-0.119433057000000E+03
0.489931570000000E+02,-0.119431148000000E+03
0.489905760000000E+02,-0.119430871000000E+03
0.489887720000000E+02,-0.119431253000000E+03
0.489859840000000E+02,-0.119433578000000E+03
0.489865090000000E+02,-0.119430628000000E+03
0.489863270000000E+02,-0.119426047000000E+03
0.489854140000000E+02,-0.119423513000000E+03
0.489834030000000E+02,-0.119421848000000E+03
0.489814160000000E+02,-0.119422230000000E+03
0.489783790000000E+02,-0.119424903000000E+03
0.489763910000000E+02,-0.119425389000000E+03
0.489756610000000E+02,-0.119424765000000E+03
0.489743350000000E+02,-0.119425979000000E+03
0.489724400000000E+02,-0.119426743000000E+03
0.489704300000000E+02,-0.119428651000000E+03
0.489668900000000E+02,-0.119429554000000E+03
0.489664560000000E+02,-0.119429207000000E+03
0.489660220000000E+02,-0.119426466000000E+03
0.489635090000000E+02,-0.119421193000000E+03
0.489615440000000E+02,-0.119420778000000E+03
0.489587350000000E+02,-0.119421542000000E+03
0.489538930000000E+02,-0.119421057000000E+03
0.489526600000000E+02,-0.119421994000000E+03
0.489502380000000E+02,-0.119428481000000E+03
0.489485480000000E+02,-0.119430076000000E+03
0.489489360000000E+02,-0.119428481000000E+03
0.489464690000000E+02,-0.119428932000000E+03
0.489455780000000E+02,-0.119431602000000E+03
0.489447560000000E+02,-0.119432018000000E+03
0.489422200000000E+02,-0.119430805000000E+03
0.489426310000000E+02,-0.119428967000000E+03
0.489421520000000E+02,-0.119428308000000E+03
0.489397530000000E+02,-0.119429280000000E+03
0.489390920000000E+02,-0.119425638000000E+03
0.489378810000000E+02,-0.119425049000000E+03
0.489387710000000E+02,-0.119426470000000E+03
0.489387480000000E+02,-0.119429973000000E+03
0.489391600000000E+02,-0.119430909000000E+03
0.489401420000000E+02,-0.119431013000000E+03
0.489419460000000E+02,-0.119429245000000E+03
0.489417180000000E+02,-0.119430770000000E+03
0.489422660000000E+02,-0.119431672000000E+03
0.489456010000000E+02,-0.119432989000000E+03
0.489470620000000E+02,-0.119431533000000E+03
0.489502150000000E+02,-0.119430041000000E+03
0.489524070000000E+02,-0.119433682000000E+03
0.489535950000000E+02,-0.119434827000000E+03
0.489558330000000E+02,-0.119435486000000E+03
0.489577290000000E+02,-0.119441174000000E+03
0.489586880000000E+02,-0.119442007000000E+03
0.489640550000000E+02,-0.119441695000000E+03
0.489640330000000E+02,-0.119439961000000E+03
0.489645130000000E+02,-0.119439302000000E+03
0.489648560000000E+02,-0.119439441000000E+03
0.489660210000000E+02,-0.119440169000000E+03
0.489677550000000E+02,-0.119442806000000E+03
0.489701310000000E+02,-0.119443744000000E+03
0.489741730000000E+02,-0.119447665000000E+03
0.489807050000000E+02,-0.119448916000000E+03
0.489846330000000E+02,-0.119452562000000E+03
0.489864150000000E+02,-0.119452840000000E+03
0.489881050000000E+02,-0.119452355000000E+03
0.489876480000000E+02,-0.119453986000000E+03
0.489885840000000E+02,-0.119454819000000E+03
0.489903880000000E+02,-0.119454820000000E+03
0.489928780000000E+02,-0.119453051000000E+03
0.489948210000000E+02,-0.119447429000000E+03
0.489952550000000E+02,-0.119447220000000E+03
0.489975840000000E+02,-0.119453400000000E+03
0.489982220000000E+02,-0.119456976000000E+03
0.489986790000000E+02,-0.119457844000000E+03
0.490002610000000E+02,-0.119457700000000E+03
END,END
0.489648330000000E+02,-0.119501733000000E+03
0.489666850000000E+02,-0.119502841000000E+03
0.489682610000000E+02,-0.119503013000000E+03
0.489704540000000E+02,-0.119504745000000E+03
0.489715760000000E+02,-0.119509706000000E+03
0.489733810000000E+02,-0.119512202000000E+03
0.489747060000000E+02,-0.119513206000000E+03
0.489760080000000E+02,-0.119513275000000E+03
0.489822640000000E+02,-0.119509001000000E+03
0.489836360000000E+02,-0.119511567000000E+03
0.489833860000000E+02,-0.119516460000000E+03
0.489814460000000E+02,-0.119518509000000E+03
0.489788660000000E+02,-0.119523022000000E+03
0.489782510000000E+02,-0.119527359000000E+03
0.489788910000000E+02,-0.119531210000000E+03
0.489810160000000E+02,-0.119533569000000E+03
0.489818160000000E+02,-0.119535373000000E+03
0.489813140000000E+02,-0.119538080000000E+03
0.489799210000000E+02,-0.119541030000000E+03
0.489795560000000E+02,-0.119543597000000E+03
0.489798990000000E+02,-0.119548351000000E+03
0.489810640000000E+02,-0.119552271000000E+03
0.489808820000000E+02,-0.119556435000000E+03
0.489821610000000E+02,-0.119559072000000E+03
0.489848790000000E+02,-0.119561224000000E+03
0.489858150000000E+02,-0.119565076000000E+03
0.489857690000000E+02,-0.119573301000000E+03
0.489882120000000E+02,-0.119579409000000E+03
0.489888050000000E+02,-0.119582879000000E+03
0.489888720000000E+02,-0.119586558000000E+03
0.489876600000000E+02,-0.119593255000000E+03
0.489872700000000E+02,-0.119599051000000E+03
0.489852560000000E+02,-0.119606891000000E+03
0.489856180000000E+02,-0.119614456000000E+03
0.489828050000000E+02,-0.119622017000000E+03
0.489811170000000E+02,-0.119628803000000E+03
0.489802960000000E+02,-0.119631024000000E+03
0.489787890000000E+02,-0.119633038000000E+03
0.489681270000000E+02,-0.119641062000000E+03
0.489659120000000E+02,-0.119642209000000E+03
0.489646790000000E+02,-0.119642591000000E+03
0.489626460000000E+02,-0.119642385000000E+03
0.489602480000000E+02,-0.119643566000000E+03
0.489527820000000E+02,-0.119649606000000E+03
0.489494480000000E+02,-0.119653492000000E+03
0.489476900000000E+02,-0.119654118000000E+03
0.489463200000000E+02,-0.119655401000000E+03
0.489439450000000E+02,-0.119655645000000E+03
0.489416610000000E+02,-0.119657866000000E+03
0.489400400000000E+02,-0.119658005000000E+03
0.489396060000000E+02,-0.119658629000000E+03
0.489386930000000E+02,-0.119658838000000E+03
0.489374360000000E+02,-0.119658561000000E+03
0.489369570000000E+02,-0.119658908000000E+03
0.489385330000000E+02,-0.119659601000000E+03
0.489404290000000E+02,-0.119659426000000E+03
0.489441510000000E+02,-0.119656512000000E+03
0.489462740000000E+02,-0.119656476000000E+03
0.489526680000000E+02,-0.119651340000000E+03
0.489533300000000E+02,-0.119649502000000E+03
0.489551560000000E+02,-0.119648703000000E+03
0.489618700000000E+02,-0.119643842000000E+03
0.489663010000000E+02,-0.119643214000000E+03
0.489677620000000E+02,-0.119642346000000E+03
0.489728310000000E+02,-0.119638318000000E+03
0.489750910000000E+02,-0.119637309000000E+03
0.489794290000000E+02,-0.119633593000000E+03
0.489812090000000E+02,-0.119631128000000E+03
0.489827480000000E+02,-0.119626187000000E+03
0.489830790000000E+02,-0.119623059000000E+03
0.489860750000000E+02,-0.119615637000000E+03
0.489860330000000E+02,-0.119605851000000E+03
0.489878870000000E+02,-0.119599606000000E+03
0.489879800000000E+02,-0.119593081000000E+03
0.489892380000000E+02,-0.119587773000000E+03
0.489893070000000E+02,-0.119583296000000E+03
0.489883720000000E+02,-0.119578264000000E+03
0.489865450000000E+02,-0.119573093000000E+03
0.489857010000000E+02,-0.119561779000000E+03
0.489823670000000E+02,-0.119558031000000E+03
0.489812470000000E+02,-0.119555880000000E+03
0.489815670000000E+02,-0.119552688000000E+03
0.489801960000000E+02,-0.119546616000000E+03
0.489802410000000E+02,-0.119542209000000E+03
0.489821820000000E+02,-0.119536588000000E+03
0.489823410000000E+02,-0.119534922000000E+03
0.489816560000000E+02,-0.119533153000000E+03
0.489797140000000E+02,-0.119531244000000E+03
0.489791880000000E+02,-0.119529996000000E+03
0.489787530000000E+02,-0.119526075000000E+03
0.489791630000000E+02,-0.119523681000000E+03
0.489814000000000E+02,-0.119519481000000E+03
0.489840260000000E+02,-0.119516807000000E+03
0.489839780000000E+02,-0.119510387000000E+03
0.489825150000000E+02,-0.119507960000000E+03
0.489812130000000E+02,-0.119507996000000E+03
0.489787470000000E+02,-0.119510496000000E+03
0.489759620000000E+02,-0.119512269000000E+03
0.489746370000000E+02,-0.119512478000000E+03
0.489727180000000E+02,-0.119510190000000E+03
0.489715280000000E+02,-0.119505333000000E+03
0.489702930000000E+02,-0.119502837000000E+03
0.489683740000000E+02,-0.119501833000000E+03
0.489661820000000E+02,-0.119502044000000E+03
0.489644660000000E+02,-0.119500670000000E+03
0.489644660000000E+02,-0.119500670000000E+03
0.489648330000000E+02,-0.119501733000000E+03
END,END
0.489628220000000E+02,-0.119499592000000E+03
0.489627690000000E+02,-0.119498803000000E+03
0.489627690000000E+02,-0.119498803000000E+03
0.489624810000000E+02,-0.119497511000000E+03
0.489596050000000E+02,-0.119493413000000E+03
0.489576900000000E+02,-0.119488105000000E+03
0.489528270000000E+02,-0.119484284000000E+03
0.489509550000000E+02,-0.119481335000000E+03
0.489505900000000E+02,-0.119479496000000E+03
0.489506820000000E+02,-0.119478316000000E+03
0.489515280000000E+02,-0.119477103000000E+03
0.489516680000000E+02,-0.119471867000000E+03
0.489507100000000E+02,-0.119467427000000E+03
0.489481080000000E+02,-0.119461287000000E+03
0.489450940000000E+02,-0.119457852000000E+03
0.489420350000000E+02,-0.119450466000000E+03
0.489358700000000E+02,-0.119442906000000E+03
0.489341340000000E+02,-0.119441449000000E+03
0.489318040000000E+02,-0.119440756000000E+03
0.489236950000000E+02,-0.119441551000000E+03
0.489222330000000E+02,-0.119441205000000E+03
0.489202920000000E+02,-0.119438778000000E+03
0.489205210000000E+02,-0.119437427000000E+03
0.489197220000000E+02,-0.119433615000000E+03
0.489193110000000E+02,-0.119432887000000E+03
0.489179170000000E+02,-0.119432402000000E+03
0.489183280000000E+02,-0.119427098000000E+03
0.489181000000000E+02,-0.119423598000000E+03
0.489187170000000E+02,-0.119422905000000E+03
0.489213200000000E+02,-0.119421241000000E+03
0.489249520000000E+02,-0.119419818000000E+03
0.489276020000000E+02,-0.119420788000000E+03
0.489291320000000E+02,-0.119421966000000E+03
0.489302740000000E+02,-0.119422105000000E+03
0.489319880000000E+02,-0.119420579000000E+03
0.489341120000000E+02,-0.119420751000000E+03
0.489345460000000E+02,-0.119421133000000E+03
0.489345230000000E+02,-0.119425050000000E+03
0.489351170000000E+02,-0.119425813000000E+03
0.489368522125977E+02,-0.119425235805273E+03
0.489359756125977E+02,-0.119424258405273E+03
0.489354956125977E+02,-0.119424403605273E+03
0.489350846125977E+02,-0.119422698405273E+03
0.489355252004883E+02,-0.119422274573242E+03
0.489373100000000E+02,-0.119424495000000E+03
0.489348430000000E+02,-0.119420023000000E+03
0.489366010000000E+02,-0.119419815000000E+03
0.489376070000000E+02,-0.119421340000000E+03
0.489378350000000E+02,-0.119420369000000E+03
0.489373780000000E+02,-0.119419329000000E+03
0.489340890000000E+02,-0.119418914000000E+03
0.489319650000000E+02,-0.119419192000000E+03
0.489303890000000E+02,-0.119421030000000E+03
0.489295660000000E+02,-0.119421307000000E+03
0.489279210000000E+02,-0.119420164000000E+03
0.489250430000000E+02,-0.119419124000000E+03
0.489202240000000E+02,-0.119420964000000E+03
0.489178260000000E+02,-0.119422732000000E+03
0.489071590000000E+02,-0.119426304000000E+03
0.489047610000000E+02,-0.119426547000000E+03
0.489023850000000E+02,-0.119428176000000E+03
0.488971540000000E+02,-0.119429389000000E+03
0.488924030000000E+02,-0.119429425000000E+03
0.488905300000000E+02,-0.119428178000000E+03
0.488820340000000E+02,-0.119427036000000E+03
0.488810510000000E+02,-0.119428075000000E+03
0.488787900000000E+02,-0.119437288000000E+03
0.488763690000000E+02,-0.119434518000000E+03
0.488741130000000E+02,-0.119433346000000E+03
0.488732000000000E+02,-0.119431061000000E+03
0.488724680000000E+02,-0.119424170000000E+03
0.488732460000000E+02,-0.119420153000000E+03
0.488731770000000E+02,-0.119417279000000E+03
0.488713720000000E+02,-0.119415963000000E+03
0.488693160000000E+02,-0.119415549000000E+03
0.488661630000000E+02,-0.119415550000000E+03
0.488653410000000E+02,-0.119416693000000E+03
0.488639020000000E+02,-0.119417385000000E+03
0.488603620000000E+02,-0.119416314000000E+03
0.488592880000000E+02,-0.119415068000000E+03
0.488575740000000E+02,-0.119409253000000E+03
0.488569570000000E+02,-0.119408561000000E+03
0.488538060000000E+02,-0.119410224000000E+03
0.488533730000000E+02,-0.119416628000000E+03
0.488538290000000E+02,-0.119421128000000E+03
0.488526420000000E+02,-0.119424485000000E+03
0.488509060000000E+02,-0.119426424000000E+03
0.488483930000000E+02,-0.119423033000000E+03
0.488462010000000E+02,-0.119422202000000E+03
0.488428660000000E+02,-0.119419815000000E+03
0.488407640000000E+02,-0.119416148000000E+03
0.488395750000000E+02,-0.119412238000000E+03
0.488387530000000E+02,-0.119411685000000E+03
0.488373590000000E+02,-0.119411478000000E+03
0.488340250000000E+02,-0.119412206000000E+03
0.488306210000000E+02,-0.119411723000000E+03
