LAT,LON
0.472299830000000E+02,-0.117182686000000E+03
0.472258900000000E+02,-0.117182793000000E+03
0.472259160000000E+02,-0.117177860000000E+03
0.472230680000000E+02,-0.117171673000000E+03
0.472202550000000E+02,-0.117163589000000E+03
0.472196600000000E+02,-0.117162885000000E+03
0.472182430000000E+02,-0.117162650000000E+03
0.472181780000000E+02,-0.117161606000000E+03
0.472208020000000E+02,-0.117156409000000E+03
0.472216230000000E+02,-0.117152483000000E+03
0.472204340000000E+02,-0.117150571000000E+03
0.472151310000000E+02,-0.117150575000000E+03
0.472137830000000E+02,-0.117151817000000E+03
0.472131890000000E+02,-0.117151717000000E+03
0.472113370000000E+02,-0.117148465000000E+03
0.472111960000000E+02,-0.117139744000000E+03
0.471965220000000E+02,-0.117139656000000E+03
0.471961800000000E+02,-0.117141333000000E+03
0.471884140000000E+02,-0.117154617000000E+03
0.471853760000000E+02,-0.117160955000000E+03
0.471818570000000E+02,-0.117171919000000E+03
0.471808280000000E+02,-0.117169439000000E+03
0.471795020000000E+02,-0.117168333000000E+03
0.471759600000000E+02,-0.117171552000000E+03
0.471707260000000E+02,-0.117171554000000E+03
0.471707260000000E+02,-0.117171554000000E+03
0.471600750000000E+02,-0.117171423000000E+03
0.471600990000000E+02,-0.117181476000000E+03
0.471544990000000E+02,-0.117185564000000E+03
0.471506590000000E+02,-0.117187374000000E+03
0.471433220000000E+02,-0.117189015000000E+03
0.471343390000000E+02,-0.117192498000000E+03
0.471317330000000E+02,-0.117194106000000E+03
0.471286700000000E+02,-0.117196986000000E+03
0.471262470000000E+02,-0.117200200000000E+03
0.471233920000000E+02,-0.117195478000000E+03
0.471232520000000E+02,-0.117155360000000E+03
0.471157990000000E+02,-0.117149572000000E+03
0.471086890000000E+02,-0.117149376000000E+03
0.471087460000000E+02,-0.117124052000000E+03
0.471076300000000E+02,-0.117123599000000E+03
0.471042010000000E+02,-0.117127754000000E+03
0.471029890000000E+02,-0.117128324000000E+03
0.470940540000000E+02,-0.117132384000000E+03
0.470892090000000E+02,-0.117133125000000E+03
0.470854140000000E+02,-0.117132125000000E+03
0.470827160000000E+02,-0.117129249000000E+03
0.470822580000000E+02,-0.117128079000000E+03
0.470791720000000E+02,-0.117127012000000E+03
0.470746510000000E+02,-0.117137590000000E+03
0.470742210000000E+02,-0.117148898000000E+03
0.470794990000000E+02,-0.117154479000000E+03
0.470790030000000E+02,-0.117200457000000E+03
0.470770150000000E+02,-0.117203735000000E+03
0.470771280000000E+02,-0.117206411000000E+03
0.470777680000000E+02,-0.117208252000000E+03
0.470787510000000E+02,-0.117209390000000E+03
0.470787270000000E+02,-0.117213773000000E+03
0.470787270000000E+02,-0.117213773000000E+03
0.470839590000000E+02,-0.117223447000000E+03
0.470848500000000E+02,-0.117224585000000E+03
0.470863120000000E+02,-0.117225356000000E+03
0.470869060000000E+02,-0.117227029000000E+03
0.470790400000000E+02,-0.117236425000000E+03
0.470732560000000E+02,-0.117237925000000E+03
0.470673590000000E+02,-0.117238054000000E+03
0.470641350000000E+02,-0.117242232000000E+03
0.470621900000000E+02,-0.117245641000000E+03
0.470607730000000E+02,-0.117246342000000E+03
0.470572750000000E+02,-0.117246874000000E+03
0.470588280000000E+02,-0.117251014000000E+03
0.470606340000000E+02,-0.117252942000000E+03
0.470613000000000E+02,-0.117258427000000E+03
0.470610270000000E+02,-0.117260969000000E+03
0.470591310000000E+02,-0.117265453000000E+03
0.470592230000000E+02,-0.117267526000000E+03
0.470596580000000E+02,-0.117268128000000E+03
0.470620350000000E+02,-0.117268361000000E+03
0.470624010000000E+02,-0.117270668000000E+03
0.470611450000000E+02,-0.117273345000000E+03
0.470581520000000E+02,-0.117276123000000E+03
0.470568720000000E+02,-0.117276091000000E+03
0.470557960000000E+02,-0.117278236000000E+03
0.470548490000000E+02,-0.117281606000000E+03
0.470557030000000E+02,-0.117285087000000E+03
0.470555630000000E+02,-0.117287082000000E+03
0.470517090000000E+02,-0.117286929000000E+03
0.470470020000000E+02,-0.117291747000000E+03
0.470487400000000E+02,-0.117297798000000E+03
0.470502720000000E+02,-0.117300708000000E+03
0.470504320000000E+02,-0.117304821000000E+03
0.470494490000000E+02,-0.117310607000000E+03
0.470494950000000E+02,-0.117317930000000E+03
0.470494950000000E+02,-0.117317930000000E+03
0.470502470000000E+02,-0.117338062000000E+03
0.470520490000000E+02,-0.117346357000000E+03
0.470517060000000E+02,-0.117349099000000E+03
0.470502880000000E+02,-0.117352175000000E+03
0.470504210000000E+02,-0.117362006000000E+03
0.470566550000000E+02,-0.117377584000000E+03
0.470574330000000E+02,-0.117378854000000E+03
0.470580270000000E+02,-0.117378787000000E+03
0.470580310000000E+02,-0.117381072000000E+03
0.470580310000000E+02,-0.117381072000000E+03
0.470766570000000E+02,-0.117382982000000E+03
0.470949870000000E+02,-0.117379014000000E+03
0.471139940000000E+02,-0.117378919000000E+03
0.471153510000000E+02,-0.117374254000000E+03
0.471152150000000E+02,-0.117371710000000E+03
0.471110360000000E+02,-0.117364273000000E+03
0.471115440000000E+02,-0.117352220000000E+03
0.471133070000000E+02,-0.117341575000000E+03
0.471123260000000E+02,-0.117333301000000E+03
0.471137450000000E+02,-0.117326776000000E+03
0.471155970000000E+02,-0.117325170000000E+03
0.471207620000000E+02,-0.117322090000000E+03
0.471268410000000E+02,-0.117322057000000E+03
0.471272980000000E+02,-0.117314991000000E+03
0.471302010000000E+02,-0.117314656000000E+03
0.471328520000000E+02,-0.117315192000000E+03
0.471365090000000E+02,-0.117313484000000E+03
0.471374920000000E+02,-0.117312178000000E+03
0.471410810000000E+02,-0.117310068000000E+03
0.471427030000000E+02,-0.117310000000000E+03
0.471451260000000E+02,-0.117311240000000E+03
0.471488750000000E+02,-0.117311206000000E+03
0.471514340000000E+02,-0.117304773000000E+03
0.471540170000000E+02,-0.117300752000000E+03
0.471619940000000E+02,-0.117300583000000E+03
0.471667940000000E+02,-0.117301453000000E+03
0.471671910000000E+02,-0.117301046000000E+03
0.471671910000000E+02,-0.117301046000000E+03
0.471672950000000E+02,-0.117288483000000E+03
0.471638190000000E+02,-0.117282352000000E+03
0.471628100000000E+02,-0.117270858000000E+03
0.471669920000000E+02,-0.117268106000000E+03
0.471680860000000E+02,-0.117261403000000E+03
0.471680850000000E+02,-0.117259057000000E+03
0.471672610000000E+02,-0.117257415000000E+03
0.471859810000000E+02,-0.117257798000000E+03
0.471869640000000E+02,-0.117259004000000E+03
0.471873990000000E+02,-0.117260479000000E+03
0.471881340000000E+02,-0.117268223000000E+03
0.471910370000000E+02,-0.117269361000000E+03
0.471917910000000E+02,-0.117268757000000E+03
0.472125220000000E+02,-0.117268840000000E+03
0.472128630000000E+02,-0.117262400000000E+03
0.472150750000000E+02,-0.117252435000000E+03
0.472163550000000E+02,-0.117248026000000E+03
0.472183440000000E+02,-0.117246686000000E+03
0.472195770000000E+02,-0.117249606000000E+03
0.472264350000000E+02,-0.117253798000000E+03
0.472302970000000E+02,-0.117252787000000E+03
0.472341600000000E+02,-0.117252548000000E+03
0.472369260000000E+02,-0.117253921000000E+03
0.472368140000000E+02,-0.117257781000000E+03
0.472356500000000E+02,-0.117262379000000E+03
0.472369100000000E+02,-0.117268720000000E+03
0.472395850000000E+02,-0.117271201000000E+03
0.472417330000000E+02,-0.117269723000000E+03
0.472437140000000E+02,-0.117263250000000E+03
0.472438080000000E+02,-0.117258814000000E+03
0.472462280000000E+02,-0.117252971000000E+03
0.472467320000000E+02,-0.117246852000000E+03
0.472459970000000E+02,-0.117242778000000E+03
0.472423470000000E+02,-0.117240202000000E+03
0.472309470000000E+02,-0.117227943000000E+03
0.472243000000000E+02,-0.117214819000000E+03
0.472242560000000E+02,-0.117206599000000E+03
0.472299830000000E+02,-0.117182686000000E+03
END,END
