LAT,LON
0.453770100000000E+02,-0.884281020000000E+02
0.453761440000000E+02,-0.883943390000000E+02
0.453761270000000E+02,-0.883939240000000E+02
0.453761370000000E+02,-0.883934650000000E+02
0.453761530000000E+02,-0.883900830000000E+02
0.453745730000000E+02,-0.883058130000000E+02
0.453680280000000E+02,-0.883061130000000E+02
0.453680280000000E+02,-0.883061130000000E+02
0.453676740000000E+02,-0.883061290000000E+02
0.453673050000000E+02,-0.883061460000000E+02
0.453658510000000E+02,-0.883062120000000E+02
0.453641600000000E+02,-0.883062880000000E+02
0.453636880000000E+02,-0.883063090000000E+02
0.453636880000000E+02,-0.883063090000000E+02
0.453312080000000E+02,-0.883075190000000E+02
0.452882740000000E+02,-0.883081420000000E+02
0.452885360000000E+02,-0.883291220000000E+02
0.452901270000000E+02,-0.883274060000000E+02
0.452970980000000E+02,-0.883360880000000E+02
0.452971890000000E+02,-0.883369300000000E+02
0.452965210000000E+02,-0.883435230000000E+02
0.452914040000000E+02,-0.883444410000000E+02
0.452887520000000E+02,-0.883444060000000E+02
0.452890820000000E+02,-0.883742660000000E+02
0.452910970000000E+02,-0.883776910000000E+02
0.452926060000000E+02,-0.883777870000000E+02
0.452936580000000E+02,-0.883787570000000E+02
0.452949440000000E+02,-0.883871360000000E+02
0.452965640000000E+02,-0.883874670000000E+02
0.452971590000000E+02,-0.883882110000000E+02
0.452978450000000E+02,-0.883898950000000E+02
0.452980520000000E+02,-0.883924540000000E+02
0.452905360000000E+02,-0.884054130000000E+02
0.452878870000000E+02,-0.884216390000000E+02
0.452891740000000E+02,-0.884298450000000E+02
0.452891740000000E+02,-0.884298450000000E+02
0.452909500000000E+02,-0.884326770000000E+02
0.452901280000000E+02,-0.884336530000000E+02
0.452891940000000E+02,-0.884315700000000E+02
0.452893540000000E+02,-0.884448610000000E+02
0.452882070000000E+02,-0.884436270000000E+02
0.452869960000000E+02,-0.884435630000000E+02
0.452808460000000E+02,-0.884444680000000E+02
0.452784930000000E+02,-0.884450510000000E+02
0.452734170000000E+02,-0.884475760000000E+02
0.452704690000000E+02,-0.884457620000000E+02
0.452626960000000E+02,-0.884489980000000E+02
0.452617380000000E+02,-0.884499630000000E+02
0.452617280000000E+02,-0.884651610000000E+02
0.452613210000000E+02,-0.884672530000000E+02
0.452620520000000E+02,-0.884696170000000E+02
0.452625540000000E+02,-0.884709440000000E+02
0.452642910000000E+02,-0.884724020000000E+02
0.452664860000000E+02,-0.884717560000000E+02
0.452672630000000E+02,-0.884709150000000E+02
0.452703950000000E+02,-0.884702690000000E+02
0.452729530000000E+02,-0.884712620000000E+02
0.452720620000000E+02,-0.884730870000000E+02
0.452726110000000E+02,-0.884741230000000E+02
0.452790090000000E+02,-0.884816390000000E+02
0.452804930000000E+02,-0.884861410000000E+02
0.452781120000000E+02,-0.884942980000000E+02
0.452826250000000E+02,-0.885001050000000E+02
0.452841960000000E+02,-0.885102110000000E+02
0.452818010000000E+02,-0.885229390000000E+02
0.452766590000000E+02,-0.885267950000000E+02
0.452755620000000E+02,-0.885286090000000E+02
0.452734150000000E+02,-0.885347940000000E+02
0.452737130000000E+02,-0.885383870000000E+02
0.452733240000000E+02,-0.885402330000000E+02
0.452674740000000E+02,-0.885535400000000E+02
0.452648450000000E+02,-0.885565830000000E+02
0.452606780000000E+02,-0.885589560000000E+02
0.452617140000000E+02,-0.885624740000000E+02
0.452628620000000E+02,-0.885750300000000E+02
0.452594050000000E+02,-0.885706950000000E+02
0.452593360000000E+02,-0.885686560000000E+02
0.452602740000000E+02,-0.885658400000000E+02
0.452597480000000E+02,-0.885656140000000E+02
0.452589250000000E+02,-0.885665850000000E+02
0.452582620000000E+02,-0.885686880000000E+02
0.452561570000000E+02,-0.885817960000000E+02
0.452528660000000E+02,-0.885799180000000E+02
0.452482460000000E+02,-0.885758100000000E+02
0.452432640000000E+02,-0.885759710000000E+02
0.452429870000000E+02,-0.885885250000000E+02
0.452434170000000E+02,-0.886004010000000E+02
0.452418400000000E+02,-0.886005290000000E+02
0.452411310000000E+02,-0.886025990000000E+02
0.452411750000000E+02,-0.886053170000000E+02
0.452419290000000E+02,-0.886068380000000E+02
0.452456540000000E+02,-0.886077800000000E+02
0.452469790000000E+02,-0.886089780000000E+02
0.452478470000000E+02,-0.886103380000000E+02
0.452486220000000E+02,-0.886144810000000E+02
0.452467250000000E+02,-0.886151260000000E+02
0.452458110000000E+02,-0.886144780000000E+02
0.452429540000000E+02,-0.886143460000000E+02
0.452387900000000E+02,-0.886215900000000E+02
0.452396820000000E+02,-0.886258410000000E+02
0.452356830000000E+02,-0.886283040000000E+02
0.452345850000000E+02,-0.886275610000000E+02
0.452337160000000E+02,-0.886258480000000E+02
0.452322980000000E+02,-0.886209360000000E+02
0.452324820000000E+02,-0.886187030000000E+02
0.452326890000000E+02,-0.886179270000000E+02
0.452313410000000E+02,-0.886158880000000E+02
0.452225650000000E+02,-0.886127420000000E+02
0.452205950000000E+02,-0.886180520000000E+02
0.452124820000000E+02,-0.886221910000000E+02
0.452107760000000E+02,-0.886251050000000E+02
0.452121150000000E+02,-0.886270990000000E+02
0.452151820000000E+02,-0.886348580000000E+02
0.452168550000000E+02,-0.886448500000000E+02
0.452158730000000E+02,-0.886491200000000E+02
0.452112350000000E+02,-0.886575950000000E+02
0.452106860000000E+02,-0.886582750000000E+02
0.452079890000000E+02,-0.886583080000000E+02
0.452069610000000E+02,-0.886595700000000E+02
0.452049800000000E+02,-0.886664660000000E+02
0.452049800000000E+02,-0.886664660000000E+02
0.452049940000000E+02,-0.886800660000000E+02
0.452424510000000E+02,-0.886794620000000E+02
0.452424510000000E+02,-0.886794620000000E+02
0.452400380000000E+02,-0.886734360000000E+02
