LAT,LON
0.376092120000000E+02,-0.818083340000000E+02
0.376110450000000E+02,-0.818045970000000E+02
0.376116170000000E+02,-0.818003380000000E+02
0.376109760000000E+02,-0.817985830000000E+02
0.376110680000000E+02,-0.817963090000000E+02
0.376138600000000E+02,-0.817912440000000E+02
0.376161260000000E+02,-0.817902940000000E+02
0.376183240000000E+02,-0.817926530000000E+02
0.376218730000000E+02,-0.817927390000000E+02
0.376239790000000E+02,-0.817917600000000E+02
0.376312370000000E+02,-0.817855090000000E+02
0.376312370000000E+02,-0.817849050000000E+02
0.376297940000000E+02,-0.817848190000000E+02
0.376281000000000E+02,-0.817853670000000E+02
0.376261780000000E+02,-0.817868350000000E+02
0.376231770000000E+02,-0.817902060000000E+02
0.376220100000000E+02,-0.817908390000000E+02
0.376181410000000E+02,-0.817916750000000E+02
0.376176070000000E+02,-0.817908420000000E+02
0.376176070000000E+02,-0.817908420000000E+02
0.376176830000000E+02,-0.817890560000000E+02
0.376135850000000E+02,-0.817899780000000E+02
0.376119820000000E+02,-0.817881940000000E+02
0.376082730000000E+02,-0.817884830000000E+02
0.376077920000000E+02,-0.817854320000000E+02
0.376068300000000E+02,-0.817830150000000E+02
0.376023200000000E+02,-0.817784130000000E+02
0.376002360000000E+02,-0.817778100000000E+02
0.375961390000000E+02,-0.817789620000000E+02
0.375953600000000E+02,-0.817785890000000E+02
0.375948100000000E+02,-0.817775820000000E+02
0.375954970000000E+02,-0.817759990000000E+02
0.375992740000000E+02,-0.817744440000000E+02
0.376004630000000E+02,-0.817714220000000E+02
0.376001650000000E+02,-0.817683440000000E+02
0.375995690000000E+02,-0.817671360000000E+02
0.375989050000000E+02,-0.817665890000000E+02
0.375964780000000E+02,-0.817671660000000E+02
0.375956080000000E+02,-0.817667640000000E+02
0.375947370000000E+02,-0.817641750000000E+02
0.375950790000000E+02,-0.817611530000000E+02
0.375976180000000E+02,-0.817547060000000E+02
0.375994950000000E+02,-0.817537840000000E+02
0.376016700000000E+02,-0.817555090000000E+02
0.376026560000000E+02,-0.817575220000000E+02
0.376038010000000E+02,-0.817582410000000E+02
0.376060900000000E+02,-0.817582390000000E+02
0.376075090000000E+02,-0.817570870000000E+02
0.376086520000000E+02,-0.817545260000000E+02
0.376085370000000E+02,-0.817525690000000E+02
0.376053540000000E+02,-0.817503170000000E+02
0.376048030000000E+02,-0.817490570000000E+02
0.376049410000000E+02,-0.817481940000000E+02
0.376063150000000E+02,-0.817469570000000E+02
0.376099560000000E+02,-0.817455220000000E+02
0.376104370000000E+02,-0.817446590000000E+02
0.376109660000000E+02,-0.817403710000000E+02
0.376149970000000E+02,-0.817370650000000E+02
0.376152960000000E+02,-0.817338130000000E+02
0.376144980000000E+02,-0.817322010000000E+02
0.376131900000000E+02,-0.817322860000000E+02
0.376106060000000E+02,-0.817334640000000E+02
0.376106060000000E+02,-0.817334640000000E+02
0.376095040000000E+02,-0.817336650000000E+02
0.376083590000000E+02,-0.817327430000000E+02
0.376074670000000E+02,-0.817306130000000E+02
0.376067120000000E+02,-0.817300950000000E+02
0.376049260000000E+02,-0.817300930000000E+02
0.376033700000000E+02,-0.817294880000000E+02
0.376020200000000E+02,-0.817262940000000E+02
0.375995710000000E+02,-0.817243650000000E+02
0.375982430000000E+02,-0.817244500000000E+02
0.375942360000000E+02,-0.817269800000000E+02
0.375930460000000E+02,-0.817250520000000E+02
