LAT,LON
0.378530160000000E+02,-0.810446060000000E+02
0.378517040000000E+02,-0.810482530000000E+02
0.378517040000000E+02,-0.810482530000000E+02
0.378544580000000E+02,-0.810479170000000E+02
0.378563200000000E+02,-0.810483600000000E+02
0.378579440000000E+02,-0.810494750000000E+02
0.378586920000000E+02,-0.810513060000000E+02
0.378585160000000E+02,-0.810532440000000E+02
0.378556170000000E+02,-0.810618190000000E+02
0.378544270000000E+02,-0.810749880000000E+02
0.378517490000000E+02,-0.810819010000000E+02
0.378502460000000E+02,-0.810899880000000E+02
0.378503910000000E+02,-0.810911930000000E+02
0.378528470000000E+02,-0.810966250000000E+02
0.378557470000000E+02,-0.811001200000000E+02
0.378571810000000E+02,-0.811006690000000E+02
0.378589430000000E+02,-0.811002270000000E+02
0.378597290000000E+02,-0.810978460000000E+02
0.378595230000000E+02,-0.810766970000000E+02
0.378603170000000E+02,-0.810723320000000E+02
0.378654590000000E+02,-0.810696770000000E+02
0.378690980000000E+02,-0.810701660000000E+02
0.378718140000000E+02,-0.810718300000000E+02
0.378736680000000E+02,-0.810723330000000E+02
0.378755600000000E+02,-0.810725320000000E+02
0.378758370000000E+02,-0.810708290000000E+02
0.378758370000000E+02,-0.810708290000000E+02
0.378746450000000E+02,-0.810716160000000E+02
0.378725620000000E+02,-0.810714480000000E+02
0.378701050000000E+02,-0.810700590000000E+02
0.378669770000000E+02,-0.810692810000000E+02
0.378645280000000E+02,-0.810695100000000E+02
0.378612930000000E+02,-0.810709440000000E+02
0.378585540000000E+02,-0.810708980000000E+02
0.378578070000000E+02,-0.810702880000000E+02
0.378561510000000E+02,-0.810675110000000E+02
0.378560060000000E+02,-0.810640320000000E+02
0.378568530000000E+02,-0.810599270000000E+02
0.378575930000000E+02,-0.810596070000000E+02
0.378582410000000E+02,-0.810583860000000E+02
0.378594240000000E+02,-0.810548460000000E+02
0.378593320000000E+02,-0.810492000000000E+02
0.378540010000000E+02,-0.810445450000000E+02
0.378530160000000E+02,-0.810446060000000E+02
END,END
