LAT,LON
0.432955610000000E+02,-0.109124103000000E+03
0.432976880000000E+02,-0.109122915000000E+03
0.432993570000000E+02,-0.109123105000000E+03
0.432997680000000E+02,-0.109124701000000E+03
0.433019840000000E+02,-0.109127921000000E+03
0.433050710000000E+02,-0.109129076000000E+03
0.433087300000000E+02,-0.109129323000000E+03
0.433105370000000E+02,-0.109130073000000E+03
0.433123190000000E+02,-0.109128161000000E+03
0.433133260000000E+02,-0.109129475000000E+03
0.433183600000000E+02,-0.109137175000000E+03
0.433186860000000E+02,-0.109143124000000E+03
0.433181020000000E+02,-0.109145888000000E+03
0.433199260000000E+02,-0.109150904000000E+03
0.433210660000000E+02,-0.109155900000000E+03
0.433218430000000E+02,-0.109156651000000E+03
0.433237180000000E+02,-0.109156838000000E+03
0.433245640000000E+02,-0.109157495000000E+03
0.433260070000000E+02,-0.109163194000000E+03
0.433257100000000E+02,-0.109166077000000E+03
0.433263730000000E+02,-0.109166891000000E+03
0.433300780000000E+02,-0.109168017000000E+03
0.433304440000000E+02,-0.109168486000000E+03
0.433309930000000E+02,-0.109175033000000E+03
0.433319310000000E+02,-0.109176066000000E+03
0.433343550000000E+02,-0.109176535000000E+03
0.433349040000000E+02,-0.109177819000000E+03
0.433349270000000E+02,-0.109180012000000E+03
0.433356820000000E+02,-0.109181140000000E+03
0.433378310000000E+02,-0.109181985000000E+03
0.433405060000000E+02,-0.109180700000000E+03
0.433415580000000E+02,-0.109181640000000E+03
0.433426100000000E+02,-0.109184146000000E+03
0.433463600000000E+02,-0.109182422000000E+03
0.433466570000000E+02,-0.109183362000000E+03
0.433463150000000E+02,-0.109188344000000E+03
0.433488070000000E+02,-0.109190537000000E+03
0.433516200000000E+02,-0.109187905000000E+03
0.433535400000000E+02,-0.109188970000000E+03
0.433549350000000E+02,-0.109192794000000E+03
0.433619770000000E+02,-0.109202540000000E+03
0.433618870000000E+02,-0.109203355000000E+03
0.433596000000000E+02,-0.109206801000000E+03
0.433593940000000E+02,-0.109208462000000E+03
0.433599190000000E+02,-0.109209434000000E+03
0.433618630000000E+02,-0.109210374000000E+03
0.433630520000000E+02,-0.109212004000000E+03
0.433635310000000E+02,-0.109215734000000E+03
0.433628220000000E+02,-0.109217081000000E+03
0.433605580000000E+02,-0.109217614000000E+03
0.433605350000000E+02,-0.109219557000000E+03
0.433621810000000E+02,-0.109222033000000E+03
0.433634140000000E+02,-0.109225231000000E+03
0.433663860000000E+02,-0.109228210000000E+03
0.433683760000000E+02,-0.109227427000000E+03
0.433691760000000E+02,-0.109227960000000E+03
0.433714140000000E+02,-0.109236487000000E+03
0.433740420000000E+02,-0.109239341000000E+03
0.433746600000000E+02,-0.109244546000000E+03
0.433770460000000E+02,-0.109253697000000E+03
0.433781900000000E+02,-0.109254887000000E+03
0.433800190000000E+02,-0.109254446000000E+03
0.433813220000000E+02,-0.109254852000000E+03
0.433816430000000E+02,-0.109255887000000E+03
0.433809570000000E+02,-0.109255981000000E+03
0.433805460000000E+02,-0.109256734000000E+03
0.433827650000000E+02,-0.109259898000000E+03
0.433836590000000E+02,-0.109263377000000E+03
0.433847110000000E+02,-0.109264851000000E+03
0.433865870000000E+02,-0.109265915000000E+03
0.433874790000000E+02,-0.109267357000000E+03
0.433870920000000E+02,-0.109271245000000E+03
0.433881220000000E+02,-0.109275132000000E+03
0.433879620000000E+02,-0.109278330000000E+03
0.433893130000000E+02,-0.109283314000000E+03
0.433917600000000E+02,-0.109285916000000E+03
0.433926760000000E+02,-0.109289647000000E+03
0.433949850000000E+02,-0.109290806000000E+03
0.433950550000000E+02,-0.109296952000000E+03
0.433959010000000E+02,-0.109297736000000E+03
0.433966560000000E+02,-0.109297767000000E+03
0.433979130000000E+02,-0.109295916000000E+03
0.433992390000000E+02,-0.109296041000000E+03
0.434028530000000E+02,-0.109300462000000E+03
0.434044770000000E+02,-0.109304226000000E+03
0.434055060000000E+02,-0.109304100000000E+03
0.434070380000000E+02,-0.109302532000000E+03
0.434078840000000E+02,-0.109302595000000E+03
0.434088210000000E+02,-0.109303441000000E+03
0.434106280000000E+02,-0.109307581000000E+03
0.434094850000000E+02,-0.109311062000000E+03
0.434104450000000E+02,-0.109314136000000E+03
0.434174420000000E+02,-0.109322073000000E+03
0.434174420000000E+02,-0.109323673000000E+03
0.434167790000000E+02,-0.109325367000000E+03
0.434167330000000E+02,-0.109328786000000E+03
0.434190180000000E+02,-0.109334621000000E+03
0.434211680000000E+02,-0.109335029000000E+03
0.434224020000000E+02,-0.109340050000000E+03
0.434267680000000E+02,-0.109346013000000E+03
0.434284370000000E+02,-0.109346766000000E+03
0.434319810000000E+02,-0.109347208000000E+03
0.434351360000000E+02,-0.109349249000000E+03
0.434357070000000E+02,-0.109350441000000E+03
0.434352030000000E+02,-0.109352104000000E+03
0.434347670000000E+02,-0.109359070000000E+03
0.434333020000000E+02,-0.109362929000000E+03
0.434329090000000E+02,-0.109371400000000E+03
0.434309970000000E+02,-0.109375698000000E+03
0.434308700000000E+02,-0.109377079000000E+03
